elapsed_s,amcl_x,amcl_y,amcl_yaw_deg,map_odom_x,map_odom_y,map_odom_yaw_deg,odom_base_x,odom_base_y,odom_base_yaw_deg,filt_vx,filt_vy,scan_hz,amcl_active
0.50,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,-165.11,0.0000,0.0000,0.0,0.000000
1.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,-165.16,0.0000,0.0000,0.0,0.000000
1.52,0.0000,0.0000,0.00,0.0040,0.0612,134.31,0.0000,0.0000,-165.18,0.0000,0.0000,7.3,0.120195
2.02,0.0000,0.0000,0.00,0.0040,0.0612,134.31,0.0000,0.0000,-165.20,0.0000,0.0000,0.0,0.000000
2.52,0.0000,0.0000,0.00,0.0040,0.0612,134.31,0.0000,0.0000,-165.20,0.0000,0.0000,0.0,0.000000
3.02,0.0000,0.0000,0.00,0.0040,0.0612,134.31,0.0000,0.0000,-165.23,0.0000,0.0000,10.0,0.000000
3.52,0.0000,0.0000,0.00,0.0040,0.0612,134.31,0.0000,0.0000,-165.25,0.0000,0.0000,0.0,0.000000
4.02,0.0000,0.0000,0.00,0.0040,0.0612,134.31,0.0000,0.0000,-165.26,-0.0000,0.0000,0.0,0.000000
4.52,0.0000,0.0000,0.00,0.0040,0.0612,134.31,0.0000,0.0000,-165.28,-0.0000,0.0000,10.0,0.000000
5.04,0.0000,0.0000,0.00,0.0040,0.0612,134.31,0.0000,0.0000,-165.30,-0.0000,0.0000,0.0,0.000000
5.54,0.0000,0.0000,0.00,0.0040,0.0612,134.31,0.0000,0.0000,-165.30,-0.0000,0.0000,0.0,0.000000
6.04,0.0000,0.0000,0.00,0.0040,0.0612,134.31,0.0000,0.0000,-165.33,-0.0000,0.0000,9.9,0.000000
6.55,0.0000,0.0000,0.00,0.0040,0.0612,134.31,0.0000,0.0000,-165.34,-0.0000,0.0000,0.0,0.000000
