elapsed_s,fc_vx,fc_vy,filt_vx,filt_vy,dvx,dvy,overshoot_flag
0.103,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.208,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.308,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.408,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.513,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.614,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.717,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.829,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.936,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.046,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.146,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.248,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.349,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.456,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.566,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.669,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.776,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.877,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.977,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.088,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.189,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.289,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.398,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.498,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.608,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.716,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.822,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.929,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.029,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.136,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.248,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.355,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.456,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.566,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.668,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.768,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.870,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.970,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
4.075,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
4.178,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
4.290,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
4.398,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
4.509,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
4.610,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
4.717,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
4.828,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
4.938,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
5.046,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
5.147,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
5.249,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
5.355,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
5.458,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
5.569,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
5.670,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
5.776,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
5.878,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
5.989,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
6.096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
6.198,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
6.300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
6.408,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
6.517,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
6.618,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
6.729,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
6.830,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
6.937,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
7.047,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
7.148,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
7.256,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
7.357,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
7.467,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
7.570,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
7.677,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
7.787,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
7.888,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
7.989,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
8.090,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
8.198,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
8.298,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
8.408,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
8.509,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
8.617,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
8.718,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
8.829,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
8.938,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
9.048,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
9.148,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
9.256,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
9.356,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
9.469,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
9.571,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
9.676,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
