elapsed_s,fc_vx,fc_vy,filt_vx,filt_vy,dvx,dvy,overshoot_flag
0.103,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.204,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
0.308,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
0.414,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
0.516,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
0.616,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
0.717,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
0.825,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
0.926,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
1.034,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
1.145,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
1.249,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
1.362,0.0000,-0.0100,-0.0000,0.0000,0.0000,-0.0888,0
1.475,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0883,0
1.579,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
1.681,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.782,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.883,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.994,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.199,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.301,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.402,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.506,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.612,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.726,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.831,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.936,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.041,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.143,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.243,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.353,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.455,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.556,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.656,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.756,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.862,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0
3.963,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
4.064,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
4.164,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
4.275,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
4.376,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
4.482,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
4.593,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
4.693,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
4.796,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
4.898,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
5.001,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
5.102,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
5.213,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
5.315,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
5.416,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
5.518,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
5.625,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
5.726,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
5.837,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
5.942,-0.0100,0.0000,-0.0000,0.0000,-0.0953,0.0000,0
6.052,-0.0100,0.0000,-0.0000,0.0000,0.0000,0.0000,0
6.156,-0.0100,0.0000,-0.0000,0.0000,0.0000,0.0000,0
6.256,-0.0100,0.0000,-0.0000,0.0000,0.0000,0.0000,0
6.363,0.0000,0.0000,-0.0000,0.0000,0.0936,0.0000,0
6.464,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
6.574,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
6.675,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
6.776,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
6.884,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
6.993,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
7.098,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
7.204,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
7.313,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
7.416,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
7.516,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
7.624,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
7.737,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
7.837,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
7.943,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
8.053,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
8.154,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
8.256,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
8.357,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
8.463,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
8.564,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
8.673,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
8.773,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
8.874,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
8.976,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
9.083,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
9.194,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
9.299,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
9.403,-0.0100,0.0000,-0.0000,0.0000,-0.0959,0.0000,0
9.503,-0.0100,0.0000,-0.0000,0.0000,0.0000,0.0000,0
9.617,-0.0100,0.0000,-0.0000,0.0000,0.0000,0.0000,0
9.722,-0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0
9.825,-0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0
9.928,-0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0
10.036,-0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0
10.137,-0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0
10.242,-0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0
10.343,-0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0
10.453,-0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0
10.555,-0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0
10.656,-0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0
10.757,-0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0
10.862,-0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0
10.962,0.0000,0.0000,0.0000,0.0000,0.0999,0.0000,0
11.062,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
11.166,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
11.273,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
11.376,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
11.484,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
11.592,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
11.693,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
11.796,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
11.898,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
11.999,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
12.099,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
12.203,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
12.313,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
12.415,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
12.516,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
12.623,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
12.726,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
12.837,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
12.942,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
13.043,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
13.153,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
13.256,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
13.362,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
13.463,-0.0100,0.0000,0.0000,0.0000,-0.0994,0.0000,0
13.573,-0.0300,0.0000,-0.0279,0.0000,-0.1816,0.0000,0
13.673,-0.0400,0.0000,-0.0397,0.0000,-0.0993,0.0000,0
