elapsed_s,amcl_x,amcl_y,amcl_yaw_deg,map_odom_x,map_odom_y,map_odom_yaw_deg,odom_base_x,odom_base_y,odom_base_yaw_deg,filt_vx,filt_vy,scan_hz,amcl_active
0.52,0.0000,0.0000,0.00,-0.0366,0.0220,65.06,0.0000,0.0000,0.00,0.0000,0.0000,0.0,0.000000
1.04,0.0000,0.0000,0.00,-0.0366,0.0220,65.06,0.0000,0.0000,0.00,0.0000,0.0000,0.0,0.000000
1.55,0.0000,0.0000,0.00,-0.0366,0.0220,65.06,0.0001,0.0001,-96.92,0.0000,0.0000,0.0,0.000000
2.07,0.0000,0.0000,0.00,-0.0366,0.0220,65.06,0.0001,0.0001,-96.95,0.0000,0.0000,0.0,0.000000
2.57,0.0000,0.0000,0.00,-0.0366,0.0220,65.06,0.0001,0.0001,-96.98,0.0000,0.0000,0.0,0.000000
3.07,0.0000,0.0000,0.00,-0.0366,0.0220,65.06,0.0001,0.0001,-97.00,0.0000,0.0000,9.3,0.000000
3.57,0.0000,0.0000,0.00,-0.0366,0.0220,65.06,0.0001,0.0001,-97.01,0.0000,0.0000,0.0,0.000000
4.07,0.0000,0.0000,0.00,-0.0366,0.0220,65.06,0.0001,0.0001,-97.01,0.0000,0.0000,0.0,0.000000
4.59,0.0000,0.0000,0.00,-0.0366,0.0220,65.06,0.0001,0.0001,-97.03,0.0000,0.0000,9.9,0.000000
5.09,0.0000,0.0000,0.00,-0.0366,0.0220,65.06,0.0001,0.0001,-97.05,0.0000,0.0000,0.0,0.000000
5.59,0.0000,0.0000,0.00,-0.0366,0.0220,65.06,0.0001,0.0001,-97.06,0.0000,0.0000,0.0,0.000000
6.11,0.0000,0.0000,0.00,-0.0366,0.0220,65.06,0.0001,0.0001,-97.08,0.0000,0.0000,9.9,0.000000
6.61,0.0000,0.0000,0.00,-0.0366,0.0220,65.06,0.0001,0.0001,-97.11,0.0000,0.0000,0.0,0.000000
7.12,0.0000,0.0000,0.00,-0.0366,0.0220,65.06,0.0001,0.0001,-97.12,0.0000,0.0000,0.0,0.000000
7.63,0.0000,0.0000,0.00,-0.0366,0.0220,65.06,0.0001,0.0001,-97.12,0.0000,0.0000,9.9,0.000000
8.13,0.0000,0.0000,0.00,-0.0366,0.0220,65.06,0.0001,0.0001,-97.14,0.0000,0.0000,0.0,0.000000
8.63,0.0000,0.0000,0.00,-0.0366,0.0220,65.06,0.0001,0.0001,-97.15,0.0000,0.0000,0.0,0.000000
9.14,0.0000,0.0000,0.00,-0.0366,0.0220,65.06,0.0001,0.0001,-97.17,0.0000,0.0000,10.5,0.000000
9.65,0.0000,0.0000,0.00,-0.0366,0.0220,65.06,0.0001,0.0001,-97.20,0.0000,0.0000,0.0,0.000000
10.15,0.0000,0.0000,0.00,-0.0366,0.0220,65.06,0.0001,0.0001,-97.21,0.0000,0.0000,0.0,0.000000
10.65,0.0000,0.0000,0.00,-0.0366,0.0220,65.06,0.0001,0.0001,-97.22,0.0000,0.0000,10.0,0.000000
11.16,0.0000,0.0000,0.00,-0.0366,0.0220,65.06,0.0001,0.0001,-97.25,0.0000,0.0000,0.0,0.000000
11.67,-0.0455,0.0388,-31.76,-0.0455,0.0387,65.50,0.0001,0.0001,-97.27,-0.0000,0.0000,0.0,0.037796
12.17,-0.0455,0.0388,-31.76,-0.0455,0.0387,65.50,0.0001,0.0001,-97.28,0.0000,0.0000,9.9,0.000000
12.67,-0.0455,0.0388,-31.76,-0.0455,0.0387,65.50,0.0001,0.0001,-97.30,0.0000,0.0000,0.0,0.000000
13.19,-0.0455,0.0388,-31.76,-0.0455,0.0387,65.50,0.0001,0.0001,-97.31,0.0000,0.0000,0.0,0.000000
13.69,-0.0455,0.0388,-31.76,-0.0455,0.0387,65.50,0.0001,0.0001,-97.33,0.0000,0.0000,9.8,0.000000
14.19,-0.0455,0.0388,-31.76,-0.0455,0.0387,65.50,0.0001,0.0001,-97.35,0.0000,0.0000,0.0,0.000000
14.70,-0.0455,0.0388,-31.76,-0.0455,0.0387,65.50,0.0001,0.0001,-97.35,0.0000,0.0000,0.0,0.000000
15.21,-0.0455,0.0388,-31.76,-0.0455,0.0387,65.50,0.0001,0.0001,-97.36,0.0000,0.0000,9.9,0.000000
15.71,-0.0455,0.0388,-31.76,-0.0455,0.0387,65.50,0.0001,0.0001,-97.37,0.0000,0.0000,0.0,0.000000
16.21,-0.0455,0.0388,-31.76,-0.0455,0.0387,65.50,0.0001,0.0001,-97.39,0.0000,0.0000,0.0,0.000000
16.71,-0.0455,0.0388,-31.76,-0.0455,0.0387,65.50,0.0001,0.0001,-97.40,0.0000,0.0000,10.0,0.000000
17.21,-0.0455,0.0388,-31.76,-0.0455,0.0387,65.50,0.0001,0.0001,-97.42,0.0000,0.0001,0.0,0.000000
17.73,-0.0455,0.0388,-31.76,-0.0455,0.0387,65.50,0.0001,0.0000,-97.50,-0.0000,-0.0003,0.0,0.000000
18.23,-0.0455,0.0388,-31.76,-0.0455,0.0387,65.50,0.0001,0.0000,-96.46,0.0003,0.0000,9.9,0.000000
18.73,-0.0455,0.0388,-31.76,-0.0455,0.0387,65.50,0.0093,0.0000,-97.57,-0.0003,-0.0000,0.0,0.000000
19.23,-0.0455,0.0388,-31.76,-0.0455,0.0387,65.50,-0.0020,-0.0002,-98.04,-0.0648,-0.0010,0.0,0.000000
19.75,-0.0964,0.0248,-32.56,-0.0854,0.0510,65.47,-0.0451,-0.0005,-97.69,-0.0737,-0.0125,10.5,0.080670
20.26,-0.1439,0.0002,-33.64,-0.0889,0.0694,65.10,-0.0703,-0.0017,-98.71,-0.0201,-0.0000,0.0,0.037063
20.77,-0.1439,0.0002,-33.64,-0.1159,0.0643,65.04,-0.0746,-0.0017,-98.29,-0.0180,0.0000,0.0,0.053835
21.27,-0.1439,0.0002,-33.64,-0.1159,0.0643,65.04,-0.0849,-0.0017,-97.81,-0.0200,0.0000,9.9,0.000000
21.77,-0.1439,0.0002,-33.64,-0.1159,0.0643,65.04,-0.0876,-0.0017,-97.71,-0.0000,-0.0000,0.0,0.000000
22.29,-0.1439,0.0002,-33.64,-0.1159,0.0643,65.04,-0.0876,-0.0017,-97.65,-0.0000,-0.0001,0.0,0.000000
22.79,-0.1439,0.0002,-33.64,-0.1159,0.0643,65.04,-0.0876,-0.0017,-97.53,-0.0000,-0.0000,9.8,0.000000
23.29,-0.1605,-0.0019,-32.58,-0.1249,0.0781,64.90,-0.0914,-0.0017,-96.92,-0.0200,-0.0002,0.0,0.032972
23.79,-0.1967,-0.0402,-32.50,-0.1621,0.0656,65.75,-0.1150,-0.0138,-98.73,-0.0806,-0.0300,0.0,0.078430
24.30,-0.2553,-0.0970,-35.16,-0.1961,0.0892,67.15,-0.2138,-0.0185,-102.12,-0.3383,-0.0144,9.9,0.080471
24.81,-0.3461,-0.2429,-29.75,-0.2321,0.1145,68.97,-0.3945,-0.0211,-98.62,-0.3329,0.0143,0.0,0.087818
25.33,-0.4323,-0.2439,-30.96,-0.2717,0.2183,68.84,-0.4982,-0.0180,-99.89,-0.0855,-0.0136,0.0,0.213754
25.83,-0.4376,-0.2577,-30.97,-0.2654,0.2245,68.23,-0.5230,-0.0190,-99.93,-0.0406,-0.0001,10.5,0.017615
26.33,-0.4646,-0.2474,-32.53,-0.2766,0.2532,67.38,-0.5406,-0.0190,-99.48,-0.0206,0.0000,0.0,0.061427
26.83,-0.4646,-0.2474,-32.53,-0.2766,0.2532,67.38,-0.5419,-0.0190,-99.00,-0.0004,0.0000,0.0,0.000000
27.33,-0.4688,-0.2045,-31.19,-0.2796,0.3033,67.56,-0.5420,-0.0190,-99.02,-0.0000,-0.0000,10.0,0.100138
27.85,-0.4688,-0.2045,-31.19,-0.2796,0.3033,67.56,-0.5420,-0.0190,-98.92,0.0000,0.0000,0.0,0.000000
28.36,-0.4688,-0.2045,-31.19,-0.2796,0.3033,67.56,-0.5420,-0.0190,-98.76,0.0000,0.0000,0.0,0.000000
28.86,-0.4688,-0.2045,-31.19,-0.2796,0.3033,67.56,-0.5420,-0.0190,-98.71,0.0000,0.0000,9.8,0.000000
29.36,-0.4688,-0.2045,-31.19,-0.2796,0.3033,67.56,-0.5420,-0.0190,-99.49,0.0000,0.0000,0.0,0.000000
29.87,-0.4688,-0.2045,-31.19,-0.2796,0.3033,67.56,-0.5332,-0.0188,-99.03,0.0945,0.0038,0.0,0.000000
30.37,-0.3526,0.0689,-32.24,-0.2132,0.4717,68.41,-0.4083,-0.0197,-100.64,0.3799,-0.0206,10.0,0.361389
30.87,-0.2918,0.1668,-29.25,-0.2400,0.3910,69.05,-0.2096,-0.0322,-98.28,0.3030,-0.0003,0.0,0.169773
31.39,-0.2410,0.3393,-30.03,-0.2148,0.4840,68.03,-0.1344,-0.0286,-97.69,0.0308,0.0001,0.0,0.185364
31.89,-0.2410,0.3393,-30.03,-0.2148,0.4840,68.03,-0.1345,-0.0286,-97.42,-0.0200,-0.0000,9.9,0.000000
32.39,-0.2410,0.3393,-30.03,-0.2148,0.4840,68.03,-0.1377,-0.0287,-97.87,-0.0000,-0.0000,0.0,0.000000
32.91,-0.2410,0.3393,-30.03,-0.2148,0.4840,68.03,-0.1377,-0.0287,-97.61,-0.0000,-0.0000,0.0,0.000000
33.41,-0.2410,0.3393,-30.03,-0.2148,0.4840,68.03,-0.1377,-0.0287,-97.86,-0.0000,-0.0000,9.9,0.000000
33.91,-0.2410,0.3393,-30.03,-0.2148,0.4840,68.03,-0.1377,-0.0287,-97.41,-0.0000,0.0000,0.0,0.000000
34.41,-0.2410,0.3393,-30.03,-0.2148,0.4840,68.03,-0.1378,-0.0287,-97.57,-0.0000,-0.0000,0.0,0.000000
34.91,-0.2410,0.3393,-30.03,-0.2148,0.4840,68.03,-0.1378,-0.0287,-97.87,-0.0000,-0.0000,10.0,0.000000
35.43,-0.2410,0.3393,-30.03,-0.2148,0.4840,68.03,-0.1378,-0.0287,-97.72,-0.0000,-0.0000,0.0,0.000000
35.93,-0.2410,0.3393,-30.03,-0.2148,0.4840,68.03,-0.1378,-0.0287,-97.70,-0.0000,-0.0000,0.0,0.000000
36.43,-0.2410,0.3393,-30.03,-0.2148,0.4840,68.03,-0.1378,-0.0287,-97.40,-0.0000,-0.0000,10.6,0.000000
36.93,-0.2410,0.3393,-30.03,-0.2148,0.4840,68.03,-0.1379,-0.0097,-97.69,-0.0010,0.1459,0.0,0.000000
37.43,-0.4142,0.5675,-31.52,-0.2212,0.6464,66.91,-0.1387,0.1659,-98.98,-0.0134,0.4684,0.0,0.324325
37.93,-0.6143,0.8153,-32.01,-0.2531,0.8098,65.78,-0.1455,0.3350,-97.63,-0.0071,0.1613,10.0,0.332217
38.44,-0.6518,0.8486,-30.15,-0.2733,0.8358,65.76,-0.1461,0.3514,-95.20,-0.0003,-0.0304,0.0,0.064232
38.95,-0.6518,0.8486,-30.15,-0.2733,0.8358,65.76,-0.1462,0.3397,-95.66,-0.0000,-0.0000,0.0,0.000000
39.45,-0.6518,0.8486,-30.15,-0.2733,0.8358,65.76,-0.1463,0.3397,-95.96,-0.0000,0.0000,9.9,0.000000
39.97,-0.6518,0.8486,-30.15,-0.2733,0.8358,65.76,-0.1463,0.3398,-95.54,-0.0000,-0.0000,0.0,0.000000
40.47,-0.6518,0.8486,-30.15,-0.2733,0.8358,65.76,-0.1463,0.3398,-95.64,-0.0000,0.0000,0.0,0.000000
40.97,-0.6518,0.8486,-30.15,-0.2733,0.8358,65.76,-0.1463,0.3398,-95.69,-0.0000,-0.0000,9.9,0.000000
41.49,-0.6518,0.8486,-30.15,-0.2733,0.8358,65.76,-0.1463,0.3398,-95.80,-0.0000,0.0000,0.0,0.000000
41.99,-0.6518,0.8486,-30.15,-0.2733,0.8358,65.76,-0.1463,0.3398,-95.68,-0.0000,0.0000,0.0,0.000000
42.49,-0.6518,0.8486,-30.15,-0.2733,0.8358,65.76,-0.1463,0.3398,-95.57,-0.0000,0.0000,9.9,0.000000
42.99,-0.6518,0.8486,-30.15,-0.2733,0.8358,65.76,-0.1463,0.3326,-96.67,-0.0000,-0.0819,0.0,0.000000
43.50,-0.5599,0.8792,-32.73,-0.2826,0.9119,65.14,-0.1482,0.2046,-97.76,-0.0046,-0.3700,0.0,0.150372
44.00,-0.4685,0.7194,-29.79,-0.3624,0.8367,67.86,-0.1484,0.0309,-97.62,0.0027,-0.2627,10.6,0.219085
44.51,-0.4358,0.6885,-30.81,-0.3978,0.8316,69.05,-0.1456,-0.0203,-100.44,0.0000,0.0010,0.0,0.070586
45.01,-0.4358,0.6885,-30.81,-0.3978,0.8316,69.05,-0.1456,-0.0099,-99.63,-0.0000,0.0200,0.0,0.000000
45.51,-0.4727,0.6629,-29.08,-0.4291,0.8020,69.53,-0.1456,-0.0034,-97.86,-0.0000,0.0197,9.9,0.086048
46.03,-0.4727,0.6629,-29.08,-0.4291,0.8020,69.53,-0.1456,-0.0030,-98.40,-0.0000,0.0001,0.0,0.000000
