elapsed_s,fc_vx,fc_vy,filt_vx,filt_vy,dvx,dvy,overshoot_flag
0.109,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.213,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.313,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.422,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.531,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.641,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.745,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.860,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.981,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.084,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.194,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.303,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.405,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.506,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.607,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.715,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.817,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.919,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.021,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.131,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.243,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.344,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.447,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.557,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.667,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.767,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.871,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.973,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.075,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.182,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.283,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.384,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.495,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.601,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.704,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.805,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.913,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
4.013,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
4.114,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
4.214,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
4.316,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
4.420,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
4.521,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
4.625,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
4.736,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
4.837,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
4.942,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
5.042,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
5.152,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
5.255,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
5.360,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
5.461,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
5.565,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
5.666,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
5.767,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
5.877,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
5.978,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
6.079,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
6.181,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
6.283,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
6.384,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
6.484,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
6.594,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
6.695,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
6.801,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
6.901,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
7.002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
7.103,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
7.203,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
7.303,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
7.413,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
7.514,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
7.614,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
7.715,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
7.817,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
7.921,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
8.022,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
8.128,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
8.233,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
8.337,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
8.437,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
8.540,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
8.642,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
8.744,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
8.854,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
8.954,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
9.056,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
9.161,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
9.261,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
9.362,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
9.464,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
9.564,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
9.666,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
9.774,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
9.875,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
9.981,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
10.084,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
10.194,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
10.303,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
10.404,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
10.514,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
10.620,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
10.721,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
10.824,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
10.932,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
11.036,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
11.142,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
11.244,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
11.353,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
11.454,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
11.554,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
11.654,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
11.755,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
11.861,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
11.966,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
12.076,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
12.177,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
12.278,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
12.378,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
12.481,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
12.583,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
12.684,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
12.794,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
12.895,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
12.995,0.0000,0.0000,0.0000,-0.0009,0.0000,0.0000,0
13.100,0.0000,0.0000,0.0000,0.0007,0.0000,0.0000,0
13.201,0.0000,0.0000,-0.0004,-0.0000,0.0000,0.0000,0
13.303,0.0000,0.0000,-0.0004,0.0000,0.0000,0.0000,0
13.404,0.0000,0.0000,0.0000,0.0003,0.0000,0.0000,0
13.514,0.0000,0.0000,-0.0001,-0.0002,0.0000,0.0000,0
13.615,0.0000,0.0000,-0.0002,-0.0000,0.0000,0.0000,0
13.717,0.0000,0.0000,-0.0002,0.0000,0.0000,0.0000,0
13.821,0.0000,0.0000,-0.0000,0.0001,0.0000,0.0000,0
13.924,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0
14.034,0.0000,0.0000,-0.0001,0.0000,0.0000,0.0000,0
14.137,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
14.243,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0
14.343,0.0200,0.0000,0.0000,0.0000,0.1982,0.0000,0
14.448,0.0200,0.0000,0.0198,0.0000,0.0000,0.0000,0
14.554,0.0100,-0.0100,-0.0000,0.0000,-0.0942,-0.0942,0
14.659,0.0000,-0.0100,-0.0000,-0.0002,-0.0948,0.0000,0
14.762,-0.0100,-0.0100,-0.0000,-0.0000,-0.0973,0.0000,0
14.870,-0.0200,-0.0100,-0.0200,-0.0000,-0.0927,0.0000,0
14.978,-0.0300,-0.0100,-0.0202,0.0000,-0.0927,0.0000,0
15.083,-0.0500,-0.0100,-0.0374,-0.0059,-0.1901,0.0000,0
15.183,-0.0600,-0.0200,-0.0507,-0.0202,-0.1000,-0.1000,0
15.292,-0.0900,-0.0200,-0.0728,-0.0184,-0.2744,0.0000,0
15.395,-0.1100,-0.0100,-0.0785,-0.0061,-0.1946,0.0973,0
15.500,-0.1100,0.0000,-0.0882,0.0073,0.0000,0.0950,0
15.605,-0.1100,0.0100,-0.0815,0.0065,0.0000,0.0952,0
15.718,-0.0900,0.0100,-0.0724,0.0023,0.1780,0.0000,0
15.824,-0.0700,0.0000,-0.0518,-0.0042,0.1884,-0.0942,0
15.937,-0.0500,0.0000,-0.0410,-0.0084,0.1764,0.0000,0
16.038,-0.0400,0.0000,-0.0309,-0.0074,0.0993,0.0000,0
