elapsed_s,odom_vel_x,odom_vel_y,filt_vel_x,filt_vel_y,filt_pos_x,filt_pos_y,tf_pos_x,tf_pos_y
1.01,0.000,0.000,0.000,0.000,0.000,0.000,0.352,0.260
2.01,0.000,0.000,0.000,0.000,0.000,0.000,0.355,0.265
3.01,0.000,0.000,0.000,0.000,0.000,0.000,0.358,0.269
4.01,0.000,0.000,0.000,0.000,0.000,0.000,0.360,0.272
5.03,0.000,0.000,0.000,0.000,0.000,0.000,0.361,0.274
6.03,0.000,0.000,0.000,0.000,0.000,0.000,0.361,0.276
7.03,0.000,0.000,0.000,0.000,0.000,0.000,0.361,0.278
8.05,0.000,0.000,0.000,0.000,0.000,0.000,0.359,0.279
9.05,0.000,0.000,0.000,0.000,0.000,0.000,0.358,0.282
10.05,0.000,0.000,0.000,0.000,0.000,0.000,0.356,0.286
11.07,0.000,0.000,0.000,0.000,0.000,0.000,0.355,0.295
12.07,0.000,0.000,0.000,0.000,0.000,0.000,0.357,0.305
13.07,-0.020,0.000,0.000,0.000,0.000,0.000,0.355,0.314
14.09,-0.060,0.000,0.000,0.000,0.000,0.000,0.292,0.325
15.09,-0.070,0.000,0.000,0.000,0.000,0.000,0.297,0.322
16.09,0.000,0.000,0.000,0.000,0.000,0.000,0.252,0.329
17.11,0.080,-0.010,0.000,0.000,0.000,0.000,0.282,0.336
18.11,0.090,-0.010,0.000,0.000,0.000,0.000,0.352,0.332
19.13,-0.010,0.000,0.000,0.000,0.000,0.000,0.472,0.322
20.14,-0.020,0.000,0.000,0.000,0.000,0.000,0.489,0.326
21.15,-0.020,0.000,0.000,0.000,0.000,0.000,0.475,0.328
22.15,-0.010,0.000,0.000,0.000,0.000,0.000,0.464,0.330
23.15,0.000,0.000,0.000,0.000,0.000,0.000,0.458,0.331
24.15,0.000,-0.010,0.000,0.000,0.000,0.000,0.452,0.333
25.17,-0.010,-0.080,0.000,0.000,0.000,0.000,0.454,0.323
26.17,0.000,-0.020,0.000,0.000,0.000,0.000,0.454,0.229
27.17,0.000,-0.090,0.000,0.000,0.000,0.000,0.443,0.165
28.19,0.020,0.110,0.000,0.000,0.000,0.000,0.455,0.196
29.19,0.000,0.060,0.000,0.000,0.000,0.000,0.476,0.333
30.19,0.000,0.000,0.000,0.000,0.000,0.000,0.484,0.401
31.21,0.000,-0.010,0.000,0.000,0.000,0.000,0.487,0.415
32.21,0.000,-0.010,0.000,0.000,0.000,0.000,0.493,0.411
33.21,0.000,0.000,0.000,0.000,0.000,0.000,0.497,0.408
34.21,0.000,0.000,0.000,0.000,0.000,0.000,0.503,0.411
35.21,0.000,-0.010,0.000,0.000,0.000,0.000,0.508,0.413
36.21,0.130,-0.010,0.000,0.000,0.000,0.000,0.541,0.412
37.21,0.080,0.000,0.000,0.000,0.000,0.000,0.714,0.403
38.21,-0.090,0.000,0.000,0.000,0.000,0.000,0.733,0.408
39.21,-0.130,0.000,0.000,0.000,0.000,0.000,0.630,0.412
40.23,-0.010,0.000,0.000,0.000,0.000,0.000,0.526,0.416
41.23,0.000,-0.010,0.000,0.000,0.000,0.000,0.514,0.422
42.23,0.000,0.000,0.000,0.000,0.000,0.000,0.514,0.421
43.25,0.000,0.000,0.000,0.000,0.000,0.000,0.516,0.422
44.25,0.000,0.000,0.000,0.000,0.000,0.000,0.515,0.422
45.25,0.000,0.000,0.000,0.000,0.000,0.000,0.517,0.427
46.25,0.000,0.000,0.000,0.000,0.000,0.000,0.522,0.429
47.27,0.000,0.000,0.000,0.000,0.000,0.000,0.526,0.433
48.27,0.010,0.090,0.000,0.000,0.000,0.000,0.531,0.523
49.27,0.020,0.030,0.000,0.000,0.000,0.000,0.540,0.608
50.29,-0.020,-0.060,0.000,0.000,0.000,0.000,0.542,0.596
51.31,0.010,-0.120,0.000,0.000,0.000,0.000,0.539,0.485
52.31,0.010,-0.020,0.000,0.000,0.000,0.000,0.554,0.387
53.31,0.000,0.000,0.000,0.000,0.000,0.000,0.564,0.358
54.31,0.000,0.000,0.000,0.000,0.000,0.000,0.571,0.358
55.31,0.000,0.000,0.000,0.000,0.000,0.000,0.576,0.360
56.33,0.000,0.000,0.000,0.000,0.000,0.000,0.583,0.361
57.33,0.000,0.000,0.000,0.000,0.000,0.000,0.590,0.361
58.33,0.000,0.000,0.000,0.000,0.000,0.000,0.596,0.361
59.33,0.000,0.000,0.000,0.000,0.000,0.000,0.601,0.361
60.33,0.000,0.000,0.000,0.000,0.000,0.000,0.603,0.361
61.33,0.000,0.000,0.000,0.000,0.000,0.000,0.604,0.362
62.35,0.000,0.000,0.000,0.000,0.000,0.000,0.606,0.363
63.35,0.000,0.000,0.000,0.000,0.000,0.000,0.611,0.364
64.35,0.000,0.000,0.000,0.000,0.000,0.000,0.615,0.365
65.37,0.000,0.000,0.000,0.000,0.000,0.000,0.618,0.366
66.37,0.000,0.000,0.000,0.000,0.000,0.000,0.621,0.367
67.37,0.000,0.000,0.000,0.000,0.000,0.000,0.624,0.369
68.37,0.000,0.000,0.000,0.000,0.000,0.000,0.630,0.370
69.39,0.000,0.000,0.000,0.000,0.000,0.000,0.634,0.372
70.39,0.000,0.000,0.000,0.000,0.000,0.000,0.637,0.375
71.39,0.000,0.000,0.000,0.000,0.000,0.000,0.642,0.378
72.39,0.000,0.000,0.000,0.000,0.000,0.000,0.647,0.381
73.39,0.000,0.000,0.000,0.000,0.000,0.000,0.654,0.383
74.39,0.000,0.000,0.000,0.000,0.000,0.000,0.658,0.386
75.39,0.000,0.000,0.000,0.000,0.000,0.000,0.662,0.389
76.41,0.000,0.000,0.000,0.000,0.000,0.000,0.667,0.392
77.41,0.000,0.000,0.000,0.000,0.000,0.000,0.670,0.394
78.41,0.000,0.000,0.000,0.000,0.000,0.000,0.673,0.396
79.41,0.000,0.000,0.000,0.000,0.000,0.000,0.675,0.398
80.43,0.000,0.000,0.000,0.000,0.000,0.000,0.679,0.401
81.43,0.000,0.000,0.000,0.000,0.000,0.000,0.681,0.404
82.43,0.000,0.000,0.000,0.000,0.000,0.000,0.685,0.408
83.43,0.000,0.000,0.000,0.000,0.000,0.000,0.689,0.411
84.43,0.000,0.000,0.000,0.000,0.000,0.000,0.692,0.414
85.43,0.000,0.000,0.000,0.000,0.000,0.000,0.695,0.419
86.45,0.000,0.000,0.000,0.000,0.000,0.000,0.700,0.423
87.45,0.000,0.000,0.000,0.000,0.000,0.000,0.704,0.427
88.45,0.000,0.000,0.000,0.000,0.000,0.000,0.709,0.430
89.45,0.000,0.000,0.000,0.000,0.000,0.000,0.715,0.433
90.47,0.000,0.000,0.000,0.000,0.000,0.000,0.719,0.435
91.47,0.000,0.000,0.000,0.000,0.000,0.000,0.725,0.437
92.47,0.000,0.000,0.000,0.000,0.000,0.000,0.731,0.442
93.47,0.000,0.000,0.000,0.000,0.000,0.000,0.736,0.448
94.47,0.000,0.000,0.000,0.000,0.000,0.000,0.742,0.456
95.47,0.000,0.000,0.000,0.000,0.000,0.000,0.746,0.461
96.49,0.000,0.000,0.000,0.000,0.000,0.000,0.749,0.467
97.49,0.000,0.000,0.000,0.000,0.000,0.000,0.754,0.474
98.49,0.000,0.000,0.000,0.000,0.000,0.000,0.757,0.479
99.51,0.000,0.000,0.000,0.000,0.000,0.000,0.759,0.483
100.51,0.000,0.000,0.000,0.000,0.000,0.000,0.761,0.487
101.53,0.000,0.000,0.000,0.000,0.000,0.000,0.762,0.491
102.53,0.000,0.000,0.000,0.000,0.000,0.000,0.764,0.495
103.55,0.000,0.000,0.000,0.000,0.000,0.000,0.765,0.499
104.55,0.000,0.000,0.000,0.000,0.000,0.000,0.772,0.503
105.57,0.000,0.000,0.000,0.000,0.000,0.000,0.776,0.506
106.57,0.000,0.000,0.000,0.000,0.000,0.000,0.783,0.506
107.57,0.000,0.000,0.000,0.000,0.000,0.000,0.790,0.508
108.57,0.000,0.000,0.000,0.000,0.000,0.000,0.794,0.511
109.57,0.000,0.000,0.000,0.000,0.000,0.000,0.797,0.513
110.59,0.000,0.000,0.000,0.000,0.000,0.000,0.801,0.514
111.59,0.000,0.000,0.000,0.000,0.000,0.000,0.807,0.516
112.59,0.000,0.000,0.000,0.000,0.000,0.000,0.812,0.516
113.61,0.000,0.000,0.000,0.000,0.000,0.000,0.817,0.516
114.61,0.000,0.000,0.000,0.000,0.000,0.000,0.821,0.517
115.63,0.000,0.000,0.000,0.000,0.000,0.000,0.824,0.517
116.63,0.000,0.000,0.000,0.000,0.000,0.000,0.827,0.517
