elapsed_s,fc_vx,fc_vy,filt_vx,filt_vy,dvx,dvy,overshoot_flag
0.100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.203,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.304,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.408,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.516,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.616,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.728,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.828,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.928,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.031,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.140,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.245,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.346,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.453,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.553,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.653,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.753,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0
1.864,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.966,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.073,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.183,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.285,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.386,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.493,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.596,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.704,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.805,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.914,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.025,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.125,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.228,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.339,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.447,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.554,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.664,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
