elapsed_s,fc_raw_vx,fc_raw_vy,odom_vx,odom_vy,filt_vx,filt_vy,filt_px,filt_py,tf_px,tf_py,amcl_x,amcl_y,amcl_yaw,coupling_ratio
0.51,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1820,-0.2157,0.1820,-0.2157,0.0000,0.0000,0.00,0.000000
1.01,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1820,-0.2157,0.1820,-0.2157,0.0000,0.0000,0.00,0.000000
1.52,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1820,-0.2157,0.1820,-0.2157,0.0000,0.0000,0.00,0.000000
2.02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1820,-0.2157,0.1820,-0.2157,0.0000,0.0000,0.00,0.000000
2.52,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1820,-0.2157,0.1820,-0.2157,0.0000,0.0000,0.00,0.000000
3.02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1820,-0.2157,0.1820,-0.2157,0.0000,0.0000,0.00,0.000000
3.52,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1820,-0.2157,0.1820,-0.2157,0.0000,0.0000,0.00,0.000000
4.03,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1820,-0.2157,0.1820,-0.2157,0.0000,0.0000,0.00,0.000000
4.53,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1820,-0.2157,0.1820,-0.2157,0.0000,0.0000,0.00,0.000000
5.04,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1820,-0.2157,0.1820,-0.2157,0.0000,0.0000,0.00,0.000000
5.54,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1820,-0.2157,0.1820,-0.2157,0.0000,0.0000,0.00,0.000000
6.04,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1820,-0.2157,0.1820,-0.2157,0.0000,0.0000,0.00,0.000000
6.54,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1820,-0.2157,0.1820,-0.2157,0.0000,0.0000,0.00,0.000000
7.05,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1820,-0.2157,0.1820,-0.2157,0.0000,0.0000,0.00,0.000000
7.56,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1820,-0.2157,0.1820,-0.2157,0.0000,0.0000,0.00,0.000000
8.06,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1820,-0.2157,0.1820,-0.2157,0.0000,0.0000,0.00,0.000000
8.56,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1820,-0.2157,0.1820,-0.2157,0.0000,0.0000,0.00,0.000000
9.06,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1820,-0.2157,0.1820,-0.2157,0.0000,0.0000,0.00,0.000000
9.56,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1820,-0.2157,0.1820,-0.2157,0.0000,0.0000,0.00,0.000000
10.06,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1820,-0.2157,0.1820,-0.2157,0.0000,0.0000,0.00,0.000000
