elapsed_s,fc_raw_vx,fc_raw_vy,odom_vx,odom_vy,filt_vx,filt_vy,filt_px,filt_py,tf_px,tf_py,amcl_x,amcl_y,amcl_yaw,coupling_ratio
18.09,0.0000,0.0100,0.0000,0.0000,-0.0000,0.0000,-0.1375,-0.0193,-0.1375,-0.0193,-0.1718,0.0612,-29.15,0.000000
18.59,0.0000,0.0100,0.0000,0.0000,-0.0000,0.0000,-0.1375,-0.0193,-0.1375,-0.0193,-0.1718,0.0612,-29.15,0.000000
19.10,0.0000,0.0100,0.0000,0.0000,-0.0000,0.0000,-0.1375,-0.0183,-0.1375,-0.0183,-0.1688,0.0767,-28.22,0.000000
19.61,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,-0.1375,-0.0183,-0.1375,-0.0183,-0.1688,0.0767,-28.22,0.000000
20.11,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,-0.1375,-0.0183,-0.1375,-0.0183,-0.1688,0.0767,-28.22,0.000000
20.61,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,-0.1375,-0.0183,-0.1375,-0.0183,-0.1688,0.0767,-28.22,0.000000
21.11,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,-0.1375,-0.0183,-0.1375,-0.0183,-0.1688,0.0767,-28.22,0.000000
21.61,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,-0.1375,-0.0183,-0.1375,-0.0183,-0.1688,0.0767,-28.22,0.000000
22.12,0.0000,-0.0100,0.0000,0.0000,-0.0000,0.0000,-0.1375,-0.0183,-0.1375,-0.0183,-0.1869,0.0893,-26.36,0.000000
22.62,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,-0.1375,-0.0183,-0.1375,-0.0183,-0.1869,0.0893,-26.36,0.000000
23.12,-0.0200,0.0000,-0.0200,0.0000,-0.0185,0.0000,-0.1379,-0.0183,-0.1379,-0.0183,-0.1869,0.0893,-26.36,0.000000
23.63,-0.1300,0.0300,-0.1300,0.0300,-0.1253,-0.0110,-0.1761,-0.0250,-0.1727,-0.0247,-0.2369,0.1032,-26.38,0.230769
24.13,-0.1800,-0.0700,-0.1800,-0.0600,-0.1757,0.0606,-0.2498,-0.0107,-0.2458,-0.0121,-0.2744,0.1787,-24.38,0.388889
24.63,-0.1400,-0.0100,-0.1500,-0.0200,-0.1493,-0.0632,-0.3378,-0.0143,-0.3378,-0.0143,-0.3466,0.2082,-24.62,0.071429
25.14,-0.1500,0.0300,-0.1500,0.0300,-0.1514,-0.0525,-0.4028,-0.0399,-0.4028,-0.0399,-0.4289,0.2395,-25.03,0.200000
25.64,-0.1400,-0.0300,-0.1400,-0.0300,-0.1389,0.0208,-0.4878,-0.0472,-0.4878,-0.0472,-0.4389,0.2803,-24.37,0.214286
26.14,-0.1300,-0.0200,-0.1300,-0.0200,-0.1295,-0.0300,-0.5550,-0.0459,-0.5550,-0.0459,-0.4843,0.3792,-26.67,0.153846
26.64,-0.0200,0.0000,-0.0200,0.0000,-0.0200,0.0000,-0.5914,-0.0614,-0.5914,-0.0614,-0.4910,0.3477,-23.58,0.000000
27.14,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.5920,-0.0614,-0.5920,-0.0614,-0.4910,0.3477,-23.58,0.000000
27.64,-0.0100,-0.0100,0.0000,0.0000,-0.0000,-0.0000,-0.5965,-0.0614,-0.5965,-0.0614,-0.4910,0.3477,-23.58,0.000000
28.15,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0000,-0.5965,-0.0614,-0.5965,-0.0614,-0.4910,0.3477,-23.58,0.000000
28.65,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0000,-0.5965,-0.0614,-0.5965,-0.0614,-0.4910,0.3477,-23.58,0.000000
29.15,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0000,-0.5965,-0.0614,-0.5965,-0.0614,-0.4910,0.3477,-23.58,0.000000
29.65,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0000,-0.5965,-0.0614,-0.5965,-0.0614,-0.4910,0.3477,-23.58,0.000000
30.17,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0000,-0.5965,-0.0614,-0.5965,-0.0614,-0.4817,0.3506,-24.96,0.000000
30.67,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0000,-0.5965,-0.0614,-0.5965,-0.0614,-0.4817,0.3506,-24.96,0.000000
31.17,0.0000,-0.0100,0.0000,0.0000,-0.0000,-0.0000,-0.5965,-0.0614,-0.5965,-0.0614,-0.4817,0.3506,-24.96,0.000000
31.67,0.0000,-0.0100,0.0000,0.0000,-0.0000,-0.0000,-0.5965,-0.0614,-0.5965,-0.0614,-0.4817,0.3506,-24.96,0.000000
32.17,0.0000,-0.0100,0.0000,0.0000,-0.0000,-0.0000,-0.5965,-0.0614,-0.5965,-0.0614,-0.4817,0.3506,-24.96,0.000000
32.67,0.0000,-0.0100,0.0000,0.0000,-0.0000,0.0000,-0.5965,-0.0614,-0.5965,-0.0614,-0.4817,0.3506,-24.96,0.000000
33.17,0.0900,-0.0200,0.0900,-0.0200,0.0760,-0.0029,-0.5860,-0.0617,-0.5860,-0.0617,-0.4817,0.3506,-24.96,0.222222
