elapsed_s,fc_vx,fc_vy,odom_vx,odom_vy,filt_vx,filt_vy,tf_px,tf_py,dir_flag
0.20,-0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.40,-0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.61,-0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.81,-0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0
1.01,-0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0
1.22,-0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0
1.42,-0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0
1.62,-0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0
1.82,-0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0
2.02,-0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0
2.22,-0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0
2.43,-0.0000,-0.0000,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0
2.63,-0.0000,-0.0000,0.0000,0.0000,-0.0002,0.0000,-0.0000,0.0000,0
2.83,-0.0000,-0.0000,0.0000,0.0000,-0.0004,0.0000,-0.0000,-0.0000,0
3.04,-0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0000,0
3.24,0.0100,-0.0000,0.0000,0.0000,-0.0000,0.0000,-0.0000,0.0000,0
3.44,-0.0200,-0.0000,-0.0200,0.0000,0.0002,-0.0000,0.0001,-0.0000,0
3.64,-0.0300,-0.0000,-0.0300,0.0000,-0.0300,-0.0000,-0.0054,-0.0000,0
3.84,-0.0300,-0.0000,-0.0300,0.0000,-0.0300,0.0000,-0.0113,0.0000,0
4.04,-0.0300,-0.0000,-0.0300,0.0000,-0.0320,0.0000,-0.0177,0.0000,0
