elapsed_s,fc_vx,fc_vy,odom_vx,odom_vy,filt_vx,filt_vy,filt_px,filt_py,odom_base_x,odom_base_y,odom_base_yaw,map_odom_x,map_odom_y,map_odom_yaw,amcl_x,amcl_y,amcl_yaw,amcl_delta,pos_gap_x,pos_gap_y,odom_drift_speed
0.20,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
0.41,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
0.62,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
0.82,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
1.04,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
1.24,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
1.45,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
1.66,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
1.86,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
2.07,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.58,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
2.28,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.58,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
2.50,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.58,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
2.74,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.59,0.0000,-0.0000,0.21,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
2.98,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.59,0.0000,-0.0000,0.21,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
3.18,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.58,0.0000,-0.0000,0.21,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
3.38,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.59,0.0000,-0.0000,0.21,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
3.58,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.60,0.0000,-0.0000,0.21,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
3.78,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.60,0.0000,-0.0000,0.21,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
3.98,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.60,0.0000,-0.0000,0.21,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
4.19,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.60,0.0000,-0.0000,0.21,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
4.39,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.60,0.0000,-0.0000,0.21,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
4.60,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.60,0.0000,-0.0000,0.21,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
4.80,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.61,0.0000,-0.0000,0.21,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
5.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.61,0.0000,-0.0000,0.21,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
5.21,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.60,0.0000,-0.0000,0.21,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
5.41,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.60,0.0000,-0.0000,0.21,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
5.62,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.60,0.0000,-0.0000,0.21,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
5.82,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.60,0.0000,-0.0000,0.21,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
6.02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.60,0.0000,-0.0000,0.21,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
6.22,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.60,0.0000,-0.0000,0.21,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
