elapsed_s,odom_vel_x,odom_vel_y,filt_vel_x,filt_vel_y,filt_pos_x,filt_pos_y,tf_pos_x,tf_pos_y
1.00,0.000,0.000,0.000,0.000,0.000,0.007,0.000,0.007
2.00,0.000,0.000,0.000,0.000,0.000,0.007,0.000,0.007
3.00,0.000,0.000,0.000,0.000,0.000,0.007,0.000,0.007
4.00,0.000,0.000,0.000,0.000,0.000,0.007,0.000,0.007
5.00,0.000,0.000,0.000,0.000,0.000,0.007,0.000,0.007
6.00,0.000,0.000,0.000,0.000,0.000,0.007,0.000,0.007
7.02,0.000,0.000,0.000,0.000,0.000,0.007,0.000,0.007
8.02,0.000,0.000,0.000,0.000,0.000,0.007,0.000,0.007
9.02,0.000,0.000,0.000,0.000,0.000,0.007,0.000,0.007
10.02,-0.010,0.000,-0.010,0.000,-0.003,0.007,-0.003,0.007
11.02,-0.010,0.000,-0.010,0.000,-0.013,0.007,-0.013,0.007
12.04,0.000,0.000,-0.000,0.000,-0.018,0.007,-0.018,0.007
13.04,0.000,0.000,-0.000,0.000,-0.018,0.007,-0.018,0.007
14.04,0.000,0.000,-0.000,0.000,-0.018,0.007,-0.018,0.007
15.04,0.000,0.000,-0.000,0.000,-0.018,0.007,-0.018,0.007
16.06,0.000,0.000,-0.000,0.000,-0.018,0.007,-0.018,0.007
17.06,0.000,0.000,0.000,0.000,-0.018,0.007,-0.018,0.007
18.06,0.000,0.000,0.000,0.000,-0.018,0.007,-0.018,0.007
19.06,0.000,0.000,0.000,0.000,-0.018,0.007,-0.018,0.007
20.06,0.000,0.000,0.000,0.000,-0.018,0.007,-0.018,0.007
21.06,0.000,0.000,0.000,0.000,-0.018,0.007,-0.018,0.007
22.07,0.000,0.010,0.000,0.010,-0.018,0.014,-0.018,0.014
23.08,0.000,0.000,0.000,0.000,-0.018,0.015,-0.018,0.015
24.08,0.000,0.000,0.000,0.000,-0.018,0.015,-0.018,0.015
25.08,0.000,0.000,0.000,0.000,-0.018,0.015,-0.018,0.015
26.08,0.000,0.000,0.000,0.000,-0.018,0.015,-0.018,0.015
27.10,0.000,0.000,0.000,0.000,-0.018,0.015,-0.018,0.015
28.10,0.000,0.000,0.000,0.000,-0.018,0.015,-0.018,0.015
29.10,0.000,0.000,0.000,0.000,-0.018,0.015,-0.018,0.015
30.10,0.000,0.000,0.000,0.000,-0.018,0.015,-0.018,0.015
31.11,0.000,0.000,0.000,0.000,-0.018,0.015,-0.018,0.015
32.12,0.000,0.000,0.000,0.000,-0.018,0.015,-0.018,0.015
33.12,0.000,0.000,0.000,0.000,-0.018,0.015,-0.018,0.015
34.12,0.000,0.000,0.000,0.000,-0.018,0.015,-0.018,0.015
35.12,0.000,0.000,-0.000,0.000,-0.019,0.015,-0.019,0.015
36.12,0.000,0.000,-0.000,0.000,-0.019,0.015,-0.019,0.015
37.12,0.000,0.000,-0.000,0.000,-0.019,0.015,-0.019,0.015
