elapsed_s,amcl_x,amcl_y,amcl_yaw_deg,map_odom_x,map_odom_y,map_odom_yaw_deg,odom_base_x,odom_base_y,odom_base_yaw_deg,filt_vx,filt_vy,scan_hz,amcl_active
0.50,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.4496,0.0565,83.63,0.0000,0.0000,0.0,0.000000
1.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.4496,0.0565,83.72,0.0000,0.0000,0.0,0.000000
1.51,0.0000,0.0000,0.00,-0.4158,0.2094,-26.25,0.4496,0.0565,83.67,0.0000,0.0000,0.0,0.915361
2.01,0.0000,0.0000,0.00,-0.4158,0.2094,-26.25,0.4496,0.0565,83.67,0.0000,0.0000,0.0,0.000000
2.51,0.0000,0.0000,0.00,-0.4158,0.2094,-26.25,0.4496,0.0565,83.67,0.0000,0.0000,0.0,0.000000
3.02,0.0000,0.0000,0.00,-0.4158,0.2094,-26.25,0.4496,0.0565,83.67,0.0000,0.0000,8.6,0.000000
3.54,0.0000,0.0000,0.00,-0.4158,0.2094,-26.25,0.4496,0.0565,83.69,0.0000,0.0000,0.0,0.000000
4.04,0.0000,0.0000,0.00,-0.4158,0.2094,-26.25,0.4496,0.0565,83.69,0.0000,0.0000,0.0,0.000000
4.54,0.0000,0.0000,0.00,-0.4158,0.2094,-26.25,0.4496,0.0565,83.70,0.0000,0.0000,10.5,0.000000
5.04,0.0000,0.0000,0.00,-0.4158,0.2094,-26.25,0.4496,0.0565,83.70,0.0000,0.0000,0.0,0.000000
5.54,0.0000,0.0000,0.00,-0.4158,0.2094,-26.25,0.4496,0.0565,83.70,0.0000,0.0000,0.0,0.000000
6.04,0.0000,0.0000,0.00,-0.4158,0.2094,-26.25,0.4496,0.0565,83.70,0.0000,0.0000,10.0,0.000000
6.54,0.0000,0.0000,0.00,-0.4158,0.2094,-26.25,0.4496,0.0565,83.71,0.0000,0.0000,0.0,0.000000
7.05,0.0000,0.0000,0.00,-0.4158,0.2094,-26.25,0.4496,0.0565,83.72,0.0000,0.0000,0.0,0.000000
7.55,0.0000,0.0000,0.00,-0.4158,0.2094,-26.25,0.4496,0.0565,83.74,0.0000,-0.0004,9.9,0.000000
8.06,0.0000,0.0000,0.00,-0.4158,0.2094,-26.25,0.4497,0.0564,83.75,0.0000,0.0000,0.0,0.000000
8.56,0.0000,0.0000,0.00,-0.4158,0.2094,-26.25,0.4497,0.0564,83.75,-0.0000,-0.0000,0.0,0.000000
9.07,0.0000,0.0000,0.00,-0.4158,0.2094,-26.25,0.4497,0.0564,83.78,0.0000,-0.0000,9.9,0.000000
9.57,-0.0026,-0.0096,57.72,-0.4294,0.1428,-26.75,0.4497,0.0552,84.76,0.0000,-0.0202,0.0,0.135608
10.09,0.0084,-0.0208,56.21,-0.4136,0.1516,-27.83,0.4538,0.0446,83.73,-0.0180,-0.0000,0.0,0.034679
10.60,0.0084,-0.0208,56.21,-0.4136,0.1516,-27.83,0.4409,0.0442,83.77,-0.0290,-0.0025,9.9,0.000000
11.11,-0.0015,-0.0021,57.75,-0.4077,0.1555,-27.03,0.4180,0.0484,84.84,-0.0796,0.0358,0.0,0.013817
11.61,-0.0936,0.0134,58.11,-0.4648,0.1290,-26.32,0.3605,0.0625,84.67,-0.1523,-0.0119,0.0,0.125943
12.11,-0.1911,-0.0046,58.75,-0.4760,0.0936,-26.83,0.2897,0.0344,85.56,-0.1036,-0.0823,9.9,0.073972
12.62,-0.2305,-0.0272,58.34,-0.4809,0.0782,-26.17,0.2520,-0.0062,84.26,-0.0738,-0.0732,0.0,0.031759
13.12,-0.2588,-0.0439,58.81,-0.4474,0.0782,-25.41,0.1953,-0.0418,84.99,-0.1704,-0.0644,0.0,0.066975
