elapsed_s,amcl_x,amcl_y,amcl_yaw_deg,map_odom_x,map_odom_y,map_odom_yaw_deg,odom_base_x,odom_base_y,odom_base_yaw_deg,filt_vx,filt_vy,scan_hz,amcl_active
0.51,0.0000,0.0000,0.00,0.0412,-0.0040,80.68,0.0703,0.0001,-108.01,0.0000,0.0000,0.0,0.000000
1.01,0.0000,0.0000,0.00,0.0412,-0.0040,80.68,0.0703,0.0001,-108.03,0.0000,0.0000,0.0,0.000000
1.51,0.0000,0.0000,0.00,0.0412,-0.0040,80.68,0.0703,0.0001,-108.06,0.0000,0.0000,9.9,0.000000
2.02,0.0000,0.0000,0.00,0.0412,-0.0040,80.68,0.0703,0.0001,-108.09,0.0000,0.0000,0.0,0.000000
2.52,0.0000,0.0000,0.00,0.0412,-0.0040,80.68,0.0703,0.0001,-108.10,0.0000,0.0000,0.0,0.000000
3.04,0.0000,0.0000,0.00,0.0412,-0.0040,80.68,0.0703,0.0001,-108.12,0.0000,0.0000,9.8,0.000000
3.54,0.0000,0.0000,0.00,0.0412,-0.0040,80.68,0.0703,0.0001,-108.13,0.0000,0.0000,0.0,0.000000
4.06,0.0000,0.0000,0.00,0.0412,-0.0040,80.68,0.0703,0.0001,-108.14,0.0000,0.0000,0.0,0.000000
4.56,0.0000,0.0000,0.00,0.0412,-0.0040,80.68,0.0703,0.0001,-108.16,0.0000,0.0000,9.9,0.000000
5.07,0.0000,0.0000,0.00,0.0412,-0.0040,80.68,0.0703,0.0001,-108.18,0.0000,0.0000,0.0,0.000000
5.57,0.0000,0.0000,0.00,0.0412,-0.0040,80.68,0.0703,0.0001,-108.20,0.0000,0.0000,0.0,0.000000
6.07,0.0000,0.0000,0.00,0.0412,-0.0040,80.68,0.0703,0.0001,-108.21,0.0000,0.0000,10.6,0.000000
6.58,0.0000,0.0000,0.00,0.0412,-0.0040,80.68,0.0703,0.0001,-108.23,0.0000,0.0000,0.0,0.000000
7.08,0.0000,0.0000,0.00,0.0412,-0.0040,80.68,0.0703,0.0001,-108.25,0.0000,0.0000,0.0,0.000000
7.58,0.0000,0.0000,0.00,0.0412,-0.0040,80.68,0.0703,0.0001,-108.27,0.0000,0.0000,9.9,0.000000
8.08,0.0000,0.0000,0.00,0.0412,-0.0040,80.68,0.0703,0.0001,-108.28,0.0000,0.0000,0.0,0.000000
8.60,0.0000,0.0000,0.00,0.0412,-0.0040,80.68,0.0703,0.0001,-108.30,0.0000,0.0000,0.0,0.000000
9.10,0.0000,0.0000,0.00,0.0412,-0.0040,80.68,0.0703,0.0001,-108.31,0.0000,0.0000,9.9,0.000000
9.60,0.0000,0.0000,0.00,0.0412,-0.0040,80.68,0.0703,0.0001,-108.33,0.0000,0.0000,0.0,0.000000
10.10,0.0000,0.0000,0.00,0.0412,-0.0040,80.68,0.0703,0.0001,-108.34,0.0000,0.0000,0.0,0.000000
10.60,0.0000,0.0000,0.00,0.0412,-0.0040,80.68,0.0703,0.0001,-108.37,0.0000,0.0000,10.0,0.000000
11.10,0.0000,0.0000,0.00,0.0412,-0.0040,80.68,0.0703,0.0001,-108.38,0.0000,0.0000,0.0,0.000000
11.62,0.0000,0.0000,0.00,0.0412,-0.0040,80.68,0.0703,0.0001,-108.39,0.0000,0.0000,0.0,0.000000
12.12,0.0000,0.0000,0.00,0.0412,-0.0040,80.68,0.0703,0.0001,-108.41,0.0000,0.0000,9.9,0.000000
12.62,0.0000,0.0000,0.00,0.0412,-0.0040,80.68,0.0703,0.0001,-108.42,0.0000,0.0000,0.0,0.000000
13.12,0.0000,0.0000,0.00,0.0412,-0.0040,80.68,0.0703,0.0001,-108.44,0.0000,0.0000,0.0,0.000000
13.62,0.0000,0.0000,0.00,0.0412,-0.0040,80.68,0.0703,0.0001,-108.47,0.0000,0.0000,10.0,0.000000
14.14,0.0000,0.0000,0.00,0.0412,-0.0040,80.68,0.0703,0.0001,-108.48,0.0000,0.0000,0.0,0.000000
14.64,0.0000,0.0000,0.00,0.0412,-0.0040,80.68,0.0703,0.0001,-108.49,0.0000,0.0000,0.0,0.000000
15.14,0.0000,0.0000,0.00,0.0412,-0.0040,80.68,0.0703,0.0001,-108.50,0.0000,0.0000,9.9,0.000000
15.64,0.0000,0.0000,0.00,0.0412,-0.0040,80.68,0.0703,0.0001,-108.53,0.0000,0.0000,0.0,0.000000
16.14,0.0000,0.0000,0.00,0.0412,-0.0040,80.68,0.0703,0.0001,-108.54,0.0000,0.0000,0.0,0.000000
16.65,0.0000,0.0000,0.00,0.0412,-0.0040,80.68,0.0703,0.0001,-108.56,0.0000,0.0000,10.6,0.000000
17.15,0.0000,0.0000,0.00,0.0412,-0.0040,80.68,0.0703,0.0001,-108.58,0.0000,0.0000,0.0,0.000000
17.65,0.0000,0.0000,0.00,0.0412,-0.0040,80.68,0.0703,0.0001,-108.60,0.0000,0.0000,0.0,0.000000
18.16,0.0000,0.0000,0.00,0.0412,-0.0040,80.68,0.0703,0.0001,-108.63,0.0000,0.0000,9.9,0.000000
18.67,0.0000,0.0000,0.00,0.0412,-0.0040,80.68,0.0703,0.0001,-108.63,0.0000,0.0000,0.0,0.000000
19.17,0.0000,0.0000,0.00,0.0412,-0.0040,80.68,0.0703,0.0001,-108.65,0.0000,0.0000,0.0,0.000000
19.67,0.0000,0.0000,0.00,0.0412,-0.0040,80.68,0.0703,0.0001,-108.66,0.0000,0.0000,9.9,0.000000
20.17,0.0000,0.0000,0.00,0.0412,-0.0040,80.68,0.0703,0.0001,-108.67,0.0000,0.0000,0.0,0.000000
20.68,0.0000,0.0000,0.00,0.0412,-0.0040,80.68,0.0703,0.0001,-108.69,0.0000,0.0000,0.0,0.000000
21.18,0.0000,0.0000,0.00,0.0412,-0.0040,80.68,0.0703,0.0001,-108.71,0.0000,0.0000,9.9,0.000000
21.68,0.0541,0.0378,-28.36,0.0424,-0.0316,80.37,0.0703,0.0001,-108.73,0.0000,0.0000,0.0,0.055169
22.18,0.0541,0.0378,-28.36,0.0424,-0.0316,80.37,0.0703,0.0001,-108.74,0.0002,0.0000,0.0,0.000000
22.70,0.0541,0.0378,-28.36,0.0424,-0.0316,80.37,0.0703,0.0001,-108.81,-0.0003,-0.0000,9.9,0.000000
23.20,0.0541,0.0378,-28.36,0.0424,-0.0316,80.37,0.0696,0.0001,-109.02,-0.0002,-0.0000,0.0,0.000000
23.70,0.0145,0.0427,-26.14,0.0042,-0.0255,81.38,0.0685,0.0001,-107.51,-0.0197,-0.0001,0.0,0.077118
