elapsed_s,odom_vel_x,odom_vel_y,filt_vel_x,filt_vel_y,filt_pos_x,filt_pos_y,tf_pos_x,tf_pos_y
34.13,0.440,0.000,0.471,-0.027,0.248,-0.193,0.248,-0.193
35.13,0.110,0.020,0.205,0.020,0.602,-0.188,0.594,-0.189
36.13,-0.020,0.000,-0.020,0.000,0.668,-0.175,0.668,-0.175
37.13,-0.060,0.020,-0.056,0.004,0.627,-0.174,0.627,-0.174
38.13,-0.050,0.000,-0.054,0.000,0.569,-0.172,0.569,-0.172
39.14,-0.020,0.000,-0.020,0.000,0.524,-0.171,0.524,-0.171
40.14,0.000,0.000,-0.000,0.000,0.513,-0.171,0.513,-0.171
41.14,0.000,0.000,-0.000,0.000,0.510,-0.171,0.510,-0.171
42.14,0.000,0.000,-0.000,0.000,0.510,-0.171,0.510,-0.171
43.15,0.000,0.000,-0.000,0.000,0.510,-0.171,0.510,-0.171
44.16,0.090,0.000,0.096,-0.010,0.530,-0.171,0.528,-0.171
45.16,0.000,0.020,-0.000,0.018,0.709,-0.175,0.709,-0.175
46.16,-0.500,0.050,-0.475,0.050,0.477,-0.159,0.477,-0.159
47.16,-0.240,0.000,-0.371,0.037,-0.009,-0.105,-0.009,-0.105
48.16,0.000,0.000,-0.002,0.000,-0.197,-0.094,-0.197,-0.094
49.18,0.050,0.000,0.039,0.000,-0.180,-0.094,-0.181,-0.094
50.18,0.060,0.000,0.060,0.000,-0.125,-0.094,-0.127,-0.094
51.18,0.030,0.000,0.033,0.000,-0.074,-0.093,-0.074,-0.093
52.19,0.030,0.000,0.020,0.000,-0.053,-0.093,-0.054,-0.093
53.19,0.020,0.000,0.020,0.000,-0.027,-0.093,-0.027,-0.093
54.19,0.020,0.000,0.020,0.000,-0.007,-0.093,-0.007,-0.093
55.19,0.030,0.120,0.010,0.108,-0.002,-0.075,-0.002,-0.075
56.20,-0.050,-0.040,-0.045,0.014,0.026,0.132,0.027,0.132
57.20,0.000,-0.540,-0.014,-0.506,-0.016,-0.112,-0.016,-0.106
58.20,0.020,-0.240,0.017,-0.345,-0.003,-0.582,-0.003,-0.582
59.20,0.030,-0.050,0.033,-0.105,0.024,-0.796,0.024,-0.796
60.21,0.000,0.030,-0.000,0.022,0.032,-0.802,0.032,-0.802
61.22,0.000,0.040,-0.000,0.043,0.032,-0.764,0.032,-0.764
62.22,0.000,0.030,0.001,0.034,0.034,-0.723,0.034,-0.724
63.23,0.000,0.030,0.000,0.023,0.034,-0.694,0.034,-0.694
64.23,0.000,0.000,0.000,-0.000,0.034,-0.680,0.034,-0.680
65.23,0.000,-0.030,0.000,-0.020,0.034,-0.682,0.034,-0.682
66.23,-0.020,-0.040,-0.036,-0.140,0.010,-0.850,0.010,-0.850
67.23,0.080,0.510,0.062,0.413,0.023,-0.714,0.023,-0.714
68.24,0.040,0.360,0.052,0.463,0.091,-0.180,0.090,-0.191
69.24,0.000,0.080,0.004,0.172,0.113,0.124,0.113,0.122
70.24,0.000,-0.030,-0.004,-0.022,0.114,0.168,0.114,0.168
71.25,0.000,-0.050,0.000,-0.040,0.114,0.134,0.114,0.134
72.26,0.000,-0.040,0.002,-0.039,0.115,0.090,0.115,0.091
73.26,0.000,-0.020,0.000,-0.020,0.116,0.057,0.116,0.058
74.26,0.000,-0.020,0.000,-0.020,0.116,0.037,0.116,0.037
75.26,0.000,-0.020,0.000,-0.020,0.128,0.023,0.128,0.023
76.26,0.000,0.020,0.000,0.020,0.128,0.018,0.128,0.018
77.26,0.000,-0.020,0.001,-0.020,0.132,0.010,0.132,0.010
78.26,0.050,0.030,0.041,0.032,0.147,0.016,0.146,0.016
79.27,0.060,0.020,0.071,0.024,0.206,0.043,0.206,0.043
80.27,0.060,0.000,0.076,0.003,0.284,0.057,0.284,0.057
81.27,0.040,0.000,0.065,0.000,0.357,0.058,0.357,0.058
82.28,0.030,0.000,0.052,0.000,0.416,0.058,0.415,0.058
83.28,0.030,0.000,0.045,0.000,0.464,0.058,0.463,0.058
84.28,0.020,0.000,0.020,0.000,0.490,0.058,0.490,0.058
85.28,0.020,0.000,0.020,0.000,0.510,0.058,0.510,0.058
86.29,0.000,0.000,0.000,0.000,0.512,0.058,0.512,0.058
87.29,0.000,0.000,0.000,0.000,0.512,0.058,0.512,0.058
88.30,0.000,0.000,0.000,0.000,0.513,0.058,0.513,0.058
89.30,0.000,0.000,0.000,0.000,0.513,0.058,0.513,0.058
90.31,0.000,0.000,0.000,0.000,0.513,0.058,0.513,0.058
91.33,0.000,0.000,0.000,0.000,0.513,0.058,0.513,0.058
92.33,0.000,0.000,0.000,0.000,0.513,0.058,0.513,0.058
93.33,0.000,0.000,0.000,0.000,0.513,0.058,0.513,0.058
94.34,0.000,0.000,0.000,0.000,0.513,0.058,0.513,0.058
95.34,0.000,0.000,0.000,0.000,0.513,0.058,0.513,0.058
96.35,0.000,0.000,0.000,0.000,0.513,0.058,0.513,0.058
97.35,0.000,0.000,0.000,0.000,0.513,0.058,0.513,0.058
98.35,0.000,0.000,0.000,0.000,0.513,0.058,0.513,0.058
99.36,0.000,0.000,0.000,0.000,0.513,0.058,0.513,0.058
100.36,0.000,0.000,0.000,0.000,0.513,0.058,0.513,0.058
101.36,0.000,0.000,0.000,0.000,0.513,0.058,0.513,0.058
102.36,0.000,0.000,0.000,0.000,0.513,0.058,0.513,0.058
103.36,0.000,0.000,0.000,0.000,0.513,0.058,0.513,0.058
104.36,0.000,0.000,0.000,0.000,0.513,0.058,0.513,0.058
105.36,0.000,0.000,0.000,0.000,0.513,0.058,0.513,0.058
106.38,0.000,0.000,0.000,0.000,0.513,0.058,0.513,0.058
107.39,0.000,0.000,0.000,0.000,0.513,0.058,0.513,0.058
108.39,0.000,0.000,0.000,0.000,0.513,0.058,0.513,0.058
109.39,0.000,0.000,0.000,0.000,0.513,0.058,0.513,0.058
110.39,0.000,0.000,0.000,0.000,0.513,0.058,0.513,0.058
111.40,0.000,0.000,0.000,0.000,0.513,0.058,0.513,0.058
112.40,0.000,0.000,-0.000,0.000,0.513,0.058,0.513,0.058
113.40,0.000,0.000,-0.000,0.000,0.513,0.058,0.513,0.058
114.40,0.000,0.000,-0.000,0.000,0.513,0.058,0.513,0.058
115.43,0.000,0.000,-0.000,0.000,0.513,0.058,0.513,0.058
116.43,0.000,0.000,-0.000,0.000,0.513,0.058,0.513,0.058
117.43,0.000,0.000,-0.000,0.000,0.513,0.058,0.513,0.058
118.43,0.000,0.000,-0.000,0.000,0.513,0.058,0.513,0.058
119.43,0.000,0.000,-0.000,0.000,0.513,0.058,0.513,0.058
