elapsed_s,odom_vel_x,odom_vel_y,filt_vel_x,filt_vel_y,filt_pos_x,filt_pos_y,tf_pos_x,tf_pos_y
1.00,0.000,0.000,0.000,0.000,-0.000,-0.000,-0.000,-0.000
2.00,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,-0.000
3.00,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,-0.000
4.00,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,-0.000
5.00,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,-0.000
6.01,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,-0.000
7.01,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,-0.000
8.02,0.000,0.000,0.000,0.000,0.003,-0.000,0.003,-0.000
9.03,0.000,0.000,0.000,0.000,0.003,-0.000,0.003,-0.000
10.03,0.000,0.000,0.000,0.000,0.003,-0.000,0.003,-0.000
11.03,0.000,0.000,0.000,0.000,0.003,-0.000,0.003,-0.000
12.04,0.000,0.000,0.000,0.000,0.003,-0.000,0.003,-0.000
13.04,0.000,0.000,0.000,0.000,0.003,-0.000,0.003,-0.000
14.04,0.000,0.000,0.000,0.000,0.003,-0.000,0.003,-0.000
15.05,0.000,0.000,0.000,0.000,0.003,-0.000,0.003,-0.000
16.05,0.000,0.000,0.000,0.000,0.003,-0.000,0.003,-0.000
17.06,0.000,0.000,0.000,0.000,0.003,-0.000,0.003,-0.000
18.06,0.000,0.000,0.000,0.000,0.003,-0.000,0.003,-0.000
19.06,0.000,0.000,0.000,0.000,0.003,-0.000,0.003,-0.000
20.07,0.000,0.000,0.000,0.000,0.003,-0.000,0.003,-0.000
21.08,0.000,0.000,0.000,0.000,0.003,-0.000,0.003,-0.000
22.08,0.000,0.000,0.000,0.000,0.003,-0.000,0.003,-0.000
23.08,0.000,0.000,-0.000,0.000,0.003,-0.000,0.003,-0.000
24.09,0.000,0.000,0.000,0.000,0.003,-0.000,0.003,-0.000
25.10,0.000,0.000,0.000,0.000,0.003,0.000,0.003,0.000
26.10,0.000,0.000,-0.000,0.000,0.003,0.000,0.003,0.000
27.10,0.000,0.000,-0.000,0.000,0.003,0.000,0.003,0.000
28.10,0.000,0.000,-0.000,0.000,0.003,0.000,0.003,0.000
29.11,0.050,-0.030,0.047,-0.018,0.013,-0.002,0.013,-0.002
30.11,-0.030,-0.020,-0.060,-0.019,-0.021,-0.029,-0.021,-0.029
31.12,0.000,-0.040,0.000,-0.036,-0.029,-0.057,-0.029,-0.057
32.12,-0.140,0.020,-0.178,0.012,-0.088,-0.095,-0.088,-0.095
33.13,0.300,-0.120,0.190,-0.123,-0.124,-0.116,-0.124,-0.116
