elapsed_s,fc_vx,fc_vy,odom_vx,odom_vy,filt_vx,filt_vy,filt_px,filt_py,odom_base_x,odom_base_y,odom_base_yaw,map_odom_x,map_odom_y,map_odom_yaw,amcl_x,amcl_y,amcl_yaw,amcl_delta,pos_gap_x,pos_gap_y,odom_drift_speed
0.23,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.0000,-0.0000,0.14,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
0.44,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.0000,-0.0000,0.14,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
0.65,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.0000,-0.0000,0.14,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
0.85,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.0000,-0.0000,0.14,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
1.06,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.0000,-0.0000,0.14,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
1.26,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.0000,-0.0000,0.14,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
1.48,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.0000,-0.0000,0.14,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
1.68,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.0000,-0.0000,0.14,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
1.88,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.0000,-0.0000,0.14,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
2.09,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.0000,-0.0000,0.14,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
2.29,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.0000,-0.0000,0.14,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
