elapsed_s,fc_vx,fc_vy,odom_vx,odom_vy,filt_vx,filt_vy,tf_px,tf_py,dir_flag
0.20,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.40,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.63,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.83,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.04,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.25,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.46,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.67,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.88,-0.0000,-0.0000,0.0000,0.0000,-0.0000,0.0000,-0.0534,0.4225,0
2.08,-0.0000,-0.0000,0.0000,0.0000,-0.0000,0.0000,-0.0534,0.4225,0
2.29,-0.0000,-0.0000,0.0000,0.0000,-0.0000,0.0000,-0.0534,0.4225,0
2.50,-0.0000,-0.0000,0.0000,0.0000,-0.0000,0.0000,-0.0534,0.4225,0
2.71,-0.0000,-0.0000,0.0000,0.0000,-0.0000,0.0000,-0.0534,0.4225,0
2.91,-0.0000,-0.0000,0.0000,0.0000,-0.0000,0.0000,-0.0534,0.4225,0
3.11,-0.0000,-0.0000,0.0000,0.0000,-0.0000,0.0000,-0.0534,0.4225,0
3.31,-0.0000,-0.0000,0.0000,0.0000,-0.0000,0.0000,-0.0534,0.4225,0
3.51,-0.0000,-0.0000,0.0000,0.0000,-0.0000,0.0000,-0.0534,0.4225,0
3.71,-0.0000,-0.0000,0.0000,0.0000,-0.0000,0.0000,-0.0534,0.4225,0
3.91,-0.0000,-0.0000,0.0000,0.0000,-0.0000,0.0000,-0.0534,0.4225,0
4.12,-0.0000,-0.0000,0.0000,0.0000,-0.0000,0.0000,-0.0534,0.4225,0
