elapsed_s,odom_vel_x,odom_vel_y,filt_vel_x,filt_vel_y,filt_pos_x,filt_pos_y,tf_pos_x,tf_pos_y
87.49,0.000,0.000,0.000,0.000,0.000,0.000,0.302,0.481
88.49,0.000,0.000,0.000,0.000,0.000,0.000,0.304,0.483
89.50,0.000,0.000,0.000,0.000,0.000,0.000,0.307,0.485
90.51,0.000,0.000,0.000,0.000,0.000,0.000,0.312,0.486
91.51,0.000,0.000,0.000,0.000,0.000,0.000,0.316,0.488
92.53,0.000,0.000,0.000,0.000,0.000,0.000,0.320,0.491
93.53,0.000,0.000,0.000,0.000,0.000,0.000,0.323,0.496
94.53,0.000,0.000,0.000,0.000,0.000,0.000,0.326,0.501
95.53,0.000,0.000,0.000,0.000,0.000,0.000,0.329,0.504
96.53,0.000,0.000,0.000,0.000,0.000,0.000,0.333,0.507
97.53,0.000,0.000,0.000,0.000,0.000,0.000,0.338,0.509
98.55,0.000,0.000,0.000,0.000,0.000,0.000,0.342,0.513
99.55,0.000,0.000,0.000,0.000,0.000,0.000,0.347,0.518
100.55,0.000,0.000,0.000,0.000,0.000,0.000,0.352,0.522
101.55,0.000,0.000,0.000,0.000,0.000,0.000,0.356,0.526
102.56,0.000,0.000,0.000,0.000,0.000,0.000,0.359,0.529
103.57,0.000,0.000,0.000,0.000,0.000,0.000,0.361,0.535
104.57,0.000,0.000,0.000,0.000,0.000,0.000,0.363,0.539
105.57,0.000,0.000,0.000,0.000,0.000,0.000,0.366,0.544
106.57,0.000,0.000,0.000,0.000,0.000,0.000,0.370,0.548
107.57,0.000,0.000,0.000,0.000,0.000,0.000,0.373,0.551
108.59,0.000,0.000,0.000,0.000,0.000,0.000,0.375,0.557
109.59,0.000,0.000,0.000,0.000,0.000,0.000,0.378,0.563
110.59,0.000,0.000,0.000,0.000,0.000,0.000,0.383,0.567
111.61,0.000,0.000,0.000,0.000,0.000,0.000,0.386,0.571
112.61,0.000,0.000,0.000,0.000,0.000,0.000,0.392,0.573
113.61,0.000,0.000,0.000,0.000,0.000,0.000,0.394,0.574
114.61,0.000,0.000,0.000,0.000,0.000,0.000,0.396,0.576
115.61,0.000,0.000,0.000,0.000,0.000,0.000,0.398,0.578
116.61,0.000,0.000,0.000,0.000,0.000,0.000,0.403,0.580
117.61,0.000,0.000,0.000,0.000,0.000,0.000,0.407,0.582
118.63,0.000,0.000,0.000,0.000,0.000,0.000,0.411,0.583
119.63,0.000,0.000,0.000,0.000,0.000,0.000,0.415,0.584
