elapsed_s,fc_vx,fc_vy,filt_vx,filt_vy,dvx,dvy,overshoot_flag
0.106,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.231,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.438,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.540,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.645,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.749,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.857,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.963,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.069,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.171,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.272,-0.0100,0.0000,0.0000,0.0000,-0.0993,0.0000,0
1.373,0.0000,0.0000,0.0000,0.0000,0.0990,0.0000,0
1.479,-0.0100,0.0000,0.0000,0.0000,-0.0947,0.0000,0
1.588,-0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.689,-0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.791,-0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.892,-0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.997,-0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.108,-0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.208,-0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.308,-0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.409,-0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.512,-0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.619,-0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.728,-0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.831,-0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.932,-0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.041,0.0000,0.0000,0.0000,0.0000,0.0914,0.0000,0
3.141,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.251,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.352,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.463,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.568,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.672,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.772,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.873,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.978,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
4.079,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
4.189,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
4.292,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
4.393,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
4.493,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
4.597,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
4.708,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
4.809,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
4.909,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
5.014,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
5.114,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
5.218,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
5.328,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
5.428,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
5.532,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
5.633,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
5.738,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
5.849,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
5.952,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
6.052,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
6.152,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
6.259,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
6.369,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
6.472,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
6.573,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
6.678,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
6.789,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
6.892,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
6.998,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
7.099,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
7.200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
7.312,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
7.413,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
7.519,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
7.628,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
7.729,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
7.833,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
7.943,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
8.052,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
8.158,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
8.259,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
8.368,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
8.469,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
8.572,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
8.678,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
8.788,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
8.889,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
8.991,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
9.092,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
9.199,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
9.309,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
9.413,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
9.515,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
9.618,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
9.728,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
9.829,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
9.932,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
10.033,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
10.141,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
10.242,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
10.351,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
10.452,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
10.552,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
10.653,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
10.759,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
10.869,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
10.972,0.0100,0.0000,0.0000,0.0000,0.0969,0.0000,0
11.073,0.0100,0.0000,-0.0001,0.0000,0.0000,0.0000,0
11.182,0.0100,0.0000,-0.0000,0.0000,0.0000,0.0000,0
11.291,0.0100,0.0000,-0.0000,0.0000,0.0000,0.0000,0
11.392,0.0100,0.0000,-0.0000,0.0000,0.0000,0.0000,0
11.493,0.0100,0.0000,-0.0000,0.0000,0.0000,0.0000,0
11.598,0.0100,0.0000,-0.0000,0.0000,0.0000,0.0000,0
