elapsed_s,fc_vx,fc_vy,filt_vx,filt_vy,dvx,dvy,overshoot_flag
0.102,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.206,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.308,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.416,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.521,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.627,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.737,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.847,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.960,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.068,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.176,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.277,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.388,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.496,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.608,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.716,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.816,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.919,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.027,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.127,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.236,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.336,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.447,0.0000,0.0000,-0.0001,0.0000,0.0000,0.0000,0
2.548,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
2.658,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
2.767,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
2.867,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
2.967,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.067,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.175,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.276,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.376,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.487,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.588,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.688,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.799,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
4.007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
4.108,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
4.208,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
4.308,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
4.416,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
4.516,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
4.616,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
4.727,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
4.836,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
4.947,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
5.058,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
5.158,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
5.266,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
