elapsed_s,amcl_x,amcl_y,amcl_yaw_deg,map_odom_x,map_odom_y,map_odom_yaw_deg,odom_base_x,odom_base_y,odom_base_yaw_deg,filt_vx,filt_vy,scan_hz,amcl_active
0.51,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0001,0.0000,-119.86,-0.0000,0.0000,0.0,0.000000
1.01,0.0367,0.0806,-29.29,0.0367,0.0805,90.58,0.0001,0.0000,-119.89,-0.0000,0.0000,0.0,0.176395
1.51,0.0367,0.0806,-29.29,0.0367,0.0805,90.58,0.0001,0.0000,-119.90,-0.0000,0.0000,9.9,0.000000
2.03,0.0367,0.0806,-29.29,0.0367,0.0805,90.58,0.0001,0.0000,-119.90,-0.0000,0.0000,0.0,0.000000
2.53,0.0367,0.0806,-29.29,0.0367,0.0805,90.58,0.0001,0.0000,-119.92,-0.0000,0.0000,0.0,0.000000
3.03,0.0367,0.0806,-29.29,0.0367,0.0805,90.58,0.0001,0.0000,-119.93,-0.0000,0.0000,9.9,0.000000
3.55,0.0367,0.0806,-29.29,0.0367,0.0805,90.58,0.0001,0.0000,-119.95,-0.0000,0.0000,0.0,0.000000
4.05,0.0367,0.0806,-29.29,0.0367,0.0805,90.58,0.0001,0.0000,-119.97,-0.0000,0.0000,0.0,0.000000
4.55,0.0367,0.0806,-29.29,0.0367,0.0805,90.58,0.0001,0.0000,-120.00,-0.0000,0.0000,9.9,0.000000
5.05,0.0367,0.0806,-29.29,0.0367,0.0805,90.58,0.0001,0.0000,-120.02,0.0000,0.0000,0.0,0.000000
5.57,0.0367,0.0806,-29.29,0.0367,0.0805,90.58,0.0001,0.0000,-120.03,0.0000,0.0000,0.0,0.000000
6.07,0.0367,0.0806,-29.29,0.0367,0.0805,90.58,0.0001,0.0000,-120.05,0.0000,0.0000,9.9,0.000000
6.58,0.0367,0.0806,-29.29,0.0367,0.0805,90.58,0.0001,0.0000,-120.06,0.0000,0.0000,0.0,0.000000
7.08,0.0367,0.0806,-29.29,0.0367,0.0805,90.58,0.0001,0.0000,-120.09,0.0000,0.0000,0.0,0.000000
7.59,0.0367,0.0806,-29.29,0.0367,0.0805,90.58,0.0001,0.0000,-120.09,0.0000,0.0000,10.5,0.000000
8.09,0.0367,0.0806,-29.29,0.0367,0.0805,90.58,0.0001,0.0000,-120.11,0.0000,0.0000,0.0,0.000000
8.61,0.0367,0.0806,-29.29,0.0367,0.0805,90.58,0.0001,0.0000,-120.12,0.0000,0.0000,0.0,0.000000
9.11,0.0367,0.0806,-29.29,0.0367,0.0805,90.58,0.0001,0.0000,-120.14,0.0000,0.0000,9.9,0.000000
9.61,0.0367,0.0806,-29.29,0.0367,0.0805,90.58,0.0001,0.0000,-120.14,0.0000,0.0000,0.0,0.000000
10.13,0.0367,0.0806,-29.29,0.0367,0.0805,90.58,0.0001,0.0000,-120.16,0.0000,0.0000,0.0,0.000000
10.63,0.0367,0.0806,-29.29,0.0367,0.0805,90.58,0.0001,0.0000,-120.18,0.0000,0.0000,9.9,0.000000
11.13,0.0367,0.0806,-29.29,0.0367,0.0805,90.58,0.0001,0.0000,-120.20,0.0000,0.0000,0.0,0.000000
11.63,0.0367,0.0806,-29.29,0.0367,0.0805,90.58,0.0001,0.0000,-120.22,0.0000,0.0000,0.0,0.000000
12.13,0.0367,0.0806,-29.29,0.0367,0.0805,90.58,0.0001,0.0000,-120.24,0.0000,0.0000,10.0,0.000000
12.64,0.0367,0.0806,-29.29,0.0367,0.0805,90.58,0.0001,0.0000,-120.25,0.0000,0.0000,0.0,0.000000
