elapsed_s,fc_vx,fc_vy,odom_vx,odom_vy,filt_vx,filt_vy,tf_px,tf_py,dir_flag
0.27,-0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.47,-0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.68,0.0100,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0215,0.0000,0
0.89,-0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0215,0.0000,0
1.09,-0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0215,0.0000,0
1.29,-0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0215,0.0000,0
1.49,-0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0215,0.0000,0
1.70,-0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0215,0.0000,0
1.90,-0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0215,0.0000,0
2.11,-0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0215,0.0000,0
2.31,-0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0215,0.0000,0
2.51,-0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0215,0.0000,0
2.71,-0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0215,0.0000,0
2.92,-0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0215,0.0000,0
3.12,-0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0215,0.0000,0
3.32,-0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0215,0.0000,0
3.52,-0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0215,0.0000,0
3.73,-0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0215,0.0000,0
3.93,0.0100,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0215,0.0000,0
4.13,0.0100,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0215,0.0000,0
4.33,0.0100,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0215,0.0000,0
4.53,-0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0215,0.0000,0
4.73,-0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0215,0.0000,0
4.94,-0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0215,0.0000,0
5.14,0.0100,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0215,0.0000,0
5.35,0.0100,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0215,0.0000,0
5.55,0.0300,-0.0000,0.0300,0.0000,0.0300,0.0000,0.0238,0.0000,0
5.75,-0.0000,0.0100,0.0000,0.0000,0.0000,0.0000,0.0275,0.0000,0
5.95,-0.0300,-0.0000,-0.0300,0.0000,-0.0300,0.0000,0.0241,0.0000,0
