2026-07-19 16:52:18,679 INFO [TX #24] 0xF5 cur=(0.0, 0.0, 0.0) tar=(0.0, 0.0, 100.0) flags=0x03
2026-07-19 16:52:18,684 INFO [RX 0xA0 GREEN] F5 #85 f=03 c=0,0,0 t=0,0,100
2026-07-19 16:52:18,781 INFO [TX #25] 0xF5 cur=(0.0, 0.0, 0.0) tar=(0.0, 0.0, 100.0) flags=0x03
2026-07-19 16:52:18,786 INFO [RX 0xA0 GREEN] F5 #86 f=03 c=0,0,0 t=0,0,100
2026-07-19 16:52:18,882 INFO [TX #26] 0xF5 cur=(0.0, 0.0, 0.0) tar=(0.0, 0.0, 100.0) flags=0x03
2026-07-19 16:52:18,887 INFO [RX 0xA0 GREEN] F5 #87 f=03 c=0,0,0 t=0,0,100
2026-07-19 16:52:18,984 INFO [TX #27] 0xF5 cur=(0.0, 0.0, 0.0) tar=(0.0, 0.0, 100.0) flags=0x03
2026-07-19 16:52:18,989 INFO [RX 0xA0 GREEN] F5 #88 f=03 c=0,0,0 t=0,0,100
2026-07-19 16:52:19,086 INFO [TX #28] 0xF5 cur=(0.0, 0.0, 0.0) tar=(0.0, 0.0, 100.0) flags=0x03
2026-07-19 16:52:19,089 INFO [RX 0xA0 GREEN] F5 #89 f=03 c=0,0,0 t=0,0,100
2026-07-19 16:52:19,187 INFO [TX #29] 0xF5 cur=(0.0, 0.0, 0.0) tar=(0.0, 0.0, 100.0) flags=0x03
2026-07-19 16:52:19,191 INFO [RX 0xA0 GREEN] F5 #90 f=03 c=0,0,0 t=0,0,100
2026-07-19 16:52:19,289 INFO [TX #30] 0xF5 cur=(0.0, 0.0, 0.0) tar=(0.0, 0.0, 100.0) flags=0x03
2026-07-19 16:52:19,293 INFO [RX 0xA0 GREEN] F5 #91 f=03 c=0,0,0 t=0,0,100
2026-07-19 16:52:20,402 INFO serial closed
