elapsed_s,amcl_pose_hz,odom_hz,scan_hz,tf_odom_base_hz,tf_map_odom_hz,amcl_x,amcl_y,amcl_yaw_deg,odom_base_x,odom_base_y,map_odom_x,map_odom_y,note
17.18,1.0,0.0,10.0,48.9,10.0,0.035,0.032,-150.94,0.112,0.064,-0.067,-0.037,⚠️ AMCL 低频! 
18.18,0.0,0.0,10.0,49.9,10.0,0.035,0.032,-150.94,0.116,0.066,-0.067,-0.037,⚠️ AMCL 低频! 
19.19,0.0,0.0,9.9,50.6,10.9,0.035,0.032,-150.94,0.120,0.067,-0.067,-0.037,⚠️ AMCL 低频! 
20.21,0.0,0.0,9.8,50.0,9.8,0.035,0.032,-150.94,0.123,0.071,-0.067,-0.037,⚠️ AMCL 低频! 
21.21,0.0,0.0,10.0,49.9,10.0,0.035,0.032,-150.94,0.126,0.075,-0.067,-0.037,⚠️ AMCL 低频! 
22.23,1.0,0.0,9.8,50.0,9.8,0.052,0.043,-150.87,0.131,0.077,-0.069,-0.041,⚠️ AMCL 低频! 
23.23,0.0,0.0,10.0,49.9,10.0,0.052,0.043,-150.87,0.135,0.078,-0.069,-0.041,⚠️ AMCL 低频! 
24.25,0.0,0.0,9.8,50.0,9.8,0.052,0.043,-150.87,0.139,0.080,-0.069,-0.041,⚠️ AMCL 低频! 
25.26,0.0,0.0,9.9,49.6,9.9,0.052,0.043,-150.87,0.143,0.082,-0.069,-0.041,⚠️ AMCL 低频! 
26.27,0.0,0.0,10.9,50.5,9.9,0.052,0.043,-150.87,0.147,0.082,-0.069,-0.041,⚠️ AMCL 低频! 
27.27,1.0,0.0,10.0,49.9,10.0,0.069,0.047,-151.04,0.152,0.083,-0.073,-0.046,⚠️ AMCL 低频! 
28.28,0.0,0.0,10.0,49.9,11.0,0.069,0.047,-151.04,0.156,0.087,-0.073,-0.046,⚠️ AMCL 低频! 
29.28,0.0,0.0,10.0,49.8,10.0,0.069,0.047,-151.04,0.159,0.092,-0.073,-0.046,⚠️ AMCL 低频! 
30.29,0.0,0.0,9.9,50.3,9.9,0.069,0.047,-151.04,0.163,0.097,-0.073,-0.046,⚠️ AMCL 低频! 
31.31,1.0,0.0,9.8,50.1,9.8,0.084,0.065,-150.97,0.167,0.105,-0.073,-0.048,⚠️ AMCL 低频! 
32.31,0.0,0.0,10.0,50.0,10.0,0.084,0.065,-150.97,0.170,0.117,-0.073,-0.048,⚠️ AMCL 低频! 
33.33,1.0,0.0,9.8,50.0,9.8,0.088,0.085,-150.98,0.174,0.126,-0.075,-0.050,⚠️ AMCL 低频! 
34.33,0.0,0.0,10.0,49.9,10.0,0.088,0.085,-150.98,0.175,0.135,-0.075,-0.050,⚠️ AMCL 低频! 
35.34,0.0,0.0,10.9,49.5,9.9,0.088,0.085,-150.98,0.178,0.143,-0.075,-0.050,⚠️ AMCL 低频! 
36.36,1.0,0.0,9.9,50.5,9.9,0.089,0.104,-151.01,0.179,0.155,-0.079,-0.052,⚠️ AMCL 低频! 
37.36,1.0,0.0,10.0,50.0,11.0,0.090,0.125,-150.54,0.178,0.166,-0.075,-0.053,⚠️ AMCL 低频! 
38.37,0.0,0.0,9.8,50.1,9.8,0.090,0.125,-150.54,0.177,0.179,-0.075,-0.053,⚠️ AMCL 低频! 
39.39,1.0,0.0,9.8,50.2,9.8,0.088,0.147,-150.26,0.178,0.185,-0.074,-0.052,⚠️ AMCL 低频! 
40.39,0.0,0.0,10.0,50.0,10.0,0.088,0.147,-150.26,0.178,0.193,-0.074,-0.052,⚠️ AMCL 低频! 
41.39,1.0,0.0,10.0,50.0,10.0,0.087,0.167,-150.36,0.178,0.206,-0.075,-0.052,⚠️ AMCL 低频! 
42.39,0.0,0.0,10.0,50.0,10.0,0.087,0.167,-150.36,0.179,0.222,-0.075,-0.052,⚠️ AMCL 低频! 
43.41,1.0,0.0,9.8,50.0,9.8,0.083,0.185,-150.64,0.178,0.244,-0.078,-0.055,⚠️ AMCL 低频! 
44.43,1.0,0.0,9.8,50.1,9.8,0.079,0.206,-150.52,0.178,0.265,-0.079,-0.055,⚠️ AMCL 低频! 
45.43,1.0,0.0,10.0,49.8,10.0,0.077,0.226,-150.51,0.179,0.275,-0.080,-0.055,⚠️ AMCL 低频! 
46.44,0.0,0.0,11.0,49.9,10.0,0.077,0.226,-150.51,0.181,0.282,-0.080,-0.055,⚠️ AMCL 低频! 
47.44,0.0,0.0,10.0,49.9,10.0,0.077,0.226,-150.51,0.184,0.289,-0.080,-0.055,⚠️ AMCL 低频! 
48.44,1.0,0.0,10.0,49.8,11.0,0.076,0.251,-150.44,0.183,0.299,-0.084,-0.052,⚠️ AMCL 低频! 
49.45,1.0,0.0,9.9,50.3,9.9,0.071,0.267,-150.26,0.184,0.309,-0.088,-0.056,⚠️ AMCL 低频! 
50.46,0.0,0.0,10.0,49.9,9.0,0.071,0.267,-150.26,0.187,0.315,-0.088,-0.056,⚠️ AMCL 低频! 
51.47,0.0,0.0,9.8,50.1,10.8,0.071,0.267,-150.26,0.189,0.319,-0.088,-0.056,⚠️ AMCL 低频! 
52.50,0.0,0.0,9.8,49.8,9.8,0.071,0.267,-150.26,0.192,0.323,-0.088,-0.056,⚠️ AMCL 低频! 
53.51,0.0,0.0,9.9,50.3,9.9,0.071,0.267,-150.26,0.195,0.329,-0.088,-0.056,⚠️ AMCL 低频! 
54.51,1.0,0.0,10.0,50.0,10.0,0.078,0.280,-150.41,0.197,0.341,-0.090,-0.064,⚠️ AMCL 低频! 
55.52,1.0,0.0,10.9,49.5,9.9,0.076,0.297,-150.55,0.199,0.350,-0.094,-0.067,⚠️ AMCL 低频! 
56.52,0.0,0.0,10.0,49.9,10.0,0.076,0.297,-150.55,0.202,0.359,-0.094,-0.067,⚠️ AMCL 低频! 
57.53,0.0,0.0,9.9,50.5,9.9,0.076,0.297,-150.55,0.205,0.367,-0.094,-0.067,⚠️ AMCL 低频! 
58.55,1.0,0.0,9.8,50.1,10.8,0.076,0.316,-150.17,0.209,0.372,-0.099,-0.070,⚠️ AMCL 低频! 
59.55,0.0,0.0,10.0,49.9,10.0,0.076,0.316,-150.17,0.211,0.378,-0.099,-0.070,⚠️ AMCL 低频! 
