elapsed_s,amcl_pose_hz,odom_hz,scan_hz,tf_odom_base_hz,tf_map_odom_hz,amcl_x,amcl_y,amcl_yaw_deg,odom_base_x,odom_base_y,map_odom_x,map_odom_y,note
1.02,0.0,0.0,0.0,0.0,0.0,0.000,0.000,0.00,0.000,0.000,0.000,0.000,⚠️ odom→base TF 低频! ⚠️ AMCL 低频! 
2.03,0.0,0.0,13.8,39.5,0.0,0.000,0.000,0.00,-0.009,-0.009,0.000,0.000,⚠️ AMCL 低频! 
3.03,0.0,0.0,10.0,50.0,0.0,0.000,0.000,0.00,-0.008,-0.007,0.000,0.000,⚠️ AMCL 低频! 
4.03,0.0,0.0,10.0,49.9,0.0,0.000,0.000,0.00,-0.006,-0.002,0.000,0.000,⚠️ AMCL 低频! 
5.05,0.0,0.0,9.8,50.1,0.0,0.000,0.000,0.00,-0.005,-0.000,0.000,0.000,⚠️ AMCL 低频! 
6.05,0.0,0.0,10.0,49.9,0.0,0.000,0.000,0.00,-0.003,0.001,0.000,0.000,⚠️ AMCL 低频! 
7.07,0.0,0.0,9.8,50.1,0.0,0.000,0.000,0.00,-0.001,0.001,0.000,0.000,⚠️ AMCL 低频! 
8.07,0.0,0.0,11.0,49.9,0.0,0.000,0.000,0.00,-0.001,0.001,0.000,0.000,⚠️ AMCL 低频! 
9.08,0.0,0.0,10.0,49.8,0.0,0.000,0.000,0.00,0.000,0.001,0.000,0.000,⚠️ AMCL 低频! 
10.08,0.0,0.0,10.0,49.9,0.0,0.000,0.000,0.00,0.001,0.001,0.000,0.000,⚠️ AMCL 低频! 
11.09,0.0,0.0,9.9,50.4,0.0,0.000,0.000,0.00,0.004,0.003,0.000,0.000,⚠️ AMCL 低频! 
12.11,0.0,0.0,9.8,49.9,0.0,0.000,0.000,0.00,0.006,0.009,0.000,0.000,⚠️ AMCL 低频! 
13.14,0.0,0.0,8.7,42.7,0.0,0.000,0.000,0.00,0.010,0.013,0.000,0.000,⚠️ AMCL 低频! 
14.16,0.0,0.0,6.8,26.4,0.0,0.000,0.000,0.00,0.032,0.024,0.000,0.000,⚠️ AMCL 低频! 
15.18,1.0,0.0,7.9,45.5,3.0,0.000,0.000,-150.86,0.082,0.038,-0.065,-0.039,⚠️ AMCL 低频! 
16.18,1.0,0.0,9.0,37.9,8.0,0.022,0.008,-150.83,0.100,0.055,-0.065,-0.040,⚠️ AMCL 低频! 
