elapsed_s,amcl_x,amcl_y,amcl_yaw_deg,map_odom_x,map_odom_y,map_odom_yaw_deg,odom_base_x,odom_base_y,odom_base_yaw_deg,filt_vx,filt_vy,scan_hz,amcl_active
0.51,0.0000,0.0000,0.00,0.0000,0.0000,0.00,-0.0688,0.0499,-137.11,0.0000,0.0000,0.0,0.000000
1.02,0.0000,0.0000,0.00,-0.0479,0.1133,108.25,-0.0693,0.0500,-137.14,0.0000,0.0000,0.0,0.241426
1.52,0.0000,0.0000,0.00,-0.0479,0.1133,108.25,-0.0697,0.0500,-137.11,0.0000,0.0000,0.0,0.000000
2.02,-0.0774,0.0273,-28.33,-0.0526,0.1097,108.79,-0.0702,0.0495,-137.13,0.0000,0.0000,0.0,0.011594
2.52,-0.0774,0.0273,-28.33,-0.0526,0.1097,108.79,-0.0709,0.0473,-137.17,0.0000,0.0000,0.0,0.000000
3.03,-0.0774,0.0273,-28.33,-0.0526,0.1097,108.79,-0.0717,0.0449,-137.24,0.0000,0.0000,5.3,0.000000
3.53,-0.0774,0.0273,-28.33,-0.0526,0.1097,108.79,-0.0724,0.0428,-137.27,0.0000,0.0000,0.0,0.000000
4.04,-0.0774,0.0273,-28.33,-0.0526,0.1097,108.79,-0.0730,0.0409,-137.29,0.0000,0.0000,0.0,0.000000
4.55,-0.0774,0.0273,-28.33,-0.0526,0.1097,108.79,-0.0735,0.0393,-137.31,0.0000,0.0000,9.9,0.000000
5.05,-0.0774,0.0273,-28.33,-0.0526,0.1097,108.79,-0.0740,0.0379,-137.33,0.0000,0.0000,0.0,0.000000
5.55,-0.0774,0.0273,-28.33,-0.0526,0.1097,108.79,-0.0744,0.0366,-137.35,0.0000,0.0000,0.0,0.000000
6.06,-0.0774,0.0273,-28.33,-0.0526,0.1097,108.79,-0.0747,0.0355,-137.37,0.0000,0.0000,10.6,0.000000
6.57,-0.0774,0.0273,-28.33,-0.0526,0.1097,108.79,-0.0750,0.0346,-137.39,0.0000,0.0000,0.0,0.000000
7.07,-0.0774,0.0273,-28.33,-0.0526,0.1097,108.79,-0.0753,0.0337,-137.41,0.0000,0.0000,0.0,0.000000
7.58,-0.0774,0.0273,-28.33,-0.0526,0.1097,108.79,-0.0756,0.0329,-137.43,0.0000,0.0000,9.9,0.000000
8.08,-0.0774,0.0273,-28.33,-0.0526,0.1097,108.79,-0.0758,0.0323,-137.45,0.0000,0.0000,0.0,0.000000
8.59,-0.0774,0.0273,-28.33,-0.0526,0.1097,108.79,-0.0760,0.0317,-137.47,0.0000,0.0000,0.0,0.000000
9.09,-0.0774,0.0273,-28.33,-0.0526,0.1097,108.79,-0.0761,0.0312,-137.48,0.0000,0.0000,9.9,0.000000
9.59,-0.0774,0.0273,-28.33,-0.0526,0.1097,108.79,-0.0763,0.0307,-137.50,0.0000,0.0000,0.0,0.000000
10.09,-0.0774,0.0273,-28.33,-0.0526,0.1097,108.79,-0.0764,0.0303,-137.52,0.0000,0.0000,0.0,0.000000
10.59,-0.0539,0.0400,-28.73,-0.0502,0.1220,108.80,-0.0763,0.0301,-137.53,0.0000,0.0000,10.0,0.025188
11.09,-0.0539,0.0400,-28.73,-0.0502,0.1220,108.80,-0.0737,0.0312,-137.55,0.0000,0.0000,0.0,0.000000
11.61,-0.0539,0.0400,-28.73,-0.0502,0.1220,108.80,-0.0713,0.0323,-137.57,0.0000,0.0000,0.0,0.000000
12.11,-0.0539,0.0400,-28.73,-0.0502,0.1220,108.80,-0.0692,0.0332,-137.59,0.0000,0.0000,9.9,0.000000
12.62,-0.0539,0.0400,-28.73,-0.0502,0.1220,108.80,-0.0674,0.0340,-137.61,0.0000,0.0000,0.0,0.000000
13.12,-0.0539,0.0400,-28.73,-0.0502,0.1220,108.80,-0.0658,0.0347,-137.62,0.0000,0.0000,0.0,0.000000
13.62,-0.0539,0.0400,-28.73,-0.0502,0.1220,108.80,-0.0644,0.0353,-137.64,0.0000,0.0000,10.0,0.000000
14.13,-0.0539,0.0400,-28.73,-0.0502,0.1220,108.80,-0.0632,0.0359,-137.66,0.0000,0.0000,0.0,0.000000
14.63,-0.0539,0.0400,-28.73,-0.0502,0.1220,108.80,-0.0621,0.0363,-137.67,0.0000,0.0000,0.0,0.000000
15.13,-0.0539,0.0400,-28.73,-0.0502,0.1220,108.80,-0.0611,0.0368,-137.68,0.0000,0.0000,9.9,0.000000
15.63,-0.0539,0.0400,-28.73,-0.0502,0.1220,108.80,-0.0602,0.0372,-137.70,0.0000,0.0000,0.0,0.000000
16.13,-0.0539,0.0400,-28.73,-0.0502,0.1220,108.80,-0.0595,0.0375,-137.73,0.0000,0.0000,0.0,0.000000
16.63,-0.0539,0.0400,-28.73,-0.0502,0.1220,108.80,-0.0588,0.0378,-137.74,0.0000,-0.0000,10.0,0.000000
17.15,-0.0539,0.0400,-28.73,-0.0502,0.1220,108.80,-0.0582,0.0380,-137.73,-0.0004,-0.0003,0.0,0.000000
17.65,-0.0359,0.0856,-27.61,-0.0178,0.1525,108.30,-0.0574,0.0392,-135.39,-0.0005,0.0000,0.0,0.088038
18.15,-0.0359,0.0856,-27.61,-0.0178,0.1525,108.30,-0.0556,0.0448,-137.45,-0.0198,-0.0006,10.5,0.000000
18.66,-0.0743,0.0881,-26.46,-0.0562,0.1752,109.74,-0.0837,0.0473,-135.98,-0.0775,-0.0057,0.0,0.089104
19.16,-0.0710,0.0594,-27.12,-0.0586,0.1694,109.26,-0.1211,0.0479,-137.54,-0.0704,-0.0009,0.0,0.012491
19.66,-0.0923,0.0369,-28.16,-0.0931,0.1866,109.20,-0.1481,0.0482,-137.44,-0.0698,-0.0000,10.0,0.076941
20.17,-0.0827,-0.0136,-28.70,-0.0934,0.1577,109.42,-0.1687,0.0455,-137.79,-0.0500,-0.0000,0.0,0.056062
20.67,-0.0827,-0.0136,-28.70,-0.0934,0.1577,109.42,-0.1773,0.0382,-137.80,-0.0300,-0.0000,0.0,0.000000
21.19,-0.0827,-0.0136,-28.70,-0.0934,0.1577,109.42,-0.1764,0.0321,-137.81,-0.0003,-0.0000,9.8,0.000000
21.69,-0.0868,-0.0114,-27.96,-0.1178,0.1538,109.86,-0.1650,0.0266,-137.91,-0.0000,-0.0000,0.0,0.049579
22.19,-0.0868,-0.0114,-27.96,-0.1178,0.1538,109.86,-0.1558,0.0221,-138.05,-0.0000,-0.0000,0.0,0.000000
22.69,-0.0868,-0.0114,-27.96,-0.1178,0.1538,109.86,-0.1477,0.0181,-137.99,-0.0002,-0.0000,10.0,0.000000
23.20,-0.0783,0.0239,-28.74,-0.1106,0.1668,109.40,-0.1464,0.0175,-138.46,-0.0511,-0.0000,0.0,0.029498
