elapsed_s,amcl_x,amcl_y,amcl_yaw_deg,map_odom_x,map_odom_y,map_odom_yaw_deg,odom_base_x,odom_base_y,odom_base_yaw_deg,filt_vx,filt_vy,scan_hz,amcl_active
0.52,0.0000,0.0000,0.00,-0.0044,0.0442,52.77,0.0000,0.0000,0.00,0.0000,0.0000,0.0,0.000000
1.07,0.0000,0.0000,0.00,-0.0044,0.0442,52.77,0.0000,0.0000,0.00,0.0000,0.0000,0.0,0.000000
1.58,0.0000,0.0000,0.00,-0.0044,0.0442,52.77,0.0000,0.0000,0.00,0.0000,0.0000,0.0,0.000000
2.08,0.0000,0.0000,0.00,-0.0044,0.0442,52.77,0.0000,0.0000,0.00,0.0000,0.0000,0.0,0.000000
2.58,0.0000,0.0000,0.00,-0.0044,0.0442,52.77,-0.0177,0.0219,-83.43,0.0000,0.0000,0.0,0.000000
3.10,0.0000,0.0000,0.00,-0.0044,0.0442,52.77,-0.0177,0.0219,-83.45,0.0000,0.0000,9.2,0.000000
3.60,0.0000,0.0000,0.00,-0.0044,0.0442,52.77,-0.0177,0.0219,-83.48,0.0000,0.0000,0.0,0.000000
4.10,0.0000,0.0000,0.00,-0.0044,0.0442,52.77,-0.0177,0.0219,-83.50,-0.0000,0.0000,0.0,0.000000
4.60,0.0000,0.0000,0.00,-0.0044,0.0442,52.77,-0.0177,0.0219,-83.50,-0.0000,0.0000,10.0,0.000000
5.11,0.0000,0.0000,0.00,-0.0044,0.0442,52.77,-0.0177,0.0219,-83.53,-0.0000,0.0000,0.0,0.000000
5.62,0.0000,0.0000,0.00,-0.0044,0.0442,52.77,-0.0177,0.0219,-83.55,-0.0000,0.0000,0.0,0.000000
6.12,0.0000,0.0000,0.00,-0.0044,0.0442,52.77,-0.0177,0.0219,-83.56,-0.0000,0.0000,9.9,0.000000
6.63,0.0000,0.0000,0.00,-0.0044,0.0442,52.77,-0.0177,0.0219,-83.57,-0.0000,0.0000,0.0,0.000000
7.13,0.0000,0.0000,0.00,-0.0044,0.0442,52.77,-0.0177,0.0219,-83.59,-0.0000,0.0000,0.0,0.000000
7.64,0.0000,0.0000,0.00,-0.0044,0.0442,52.77,-0.0177,0.0219,-83.59,-0.0000,0.0000,10.6,0.000000
8.14,0.0000,0.0000,0.00,-0.0044,0.0442,52.77,-0.0177,0.0219,-83.60,-0.0000,0.0000,0.0,0.000000
8.65,0.0000,0.0000,0.00,-0.0044,0.0442,52.77,-0.0177,0.0219,-83.61,0.0000,0.0000,0.0,0.000000
9.15,0.0000,0.0000,0.00,-0.0044,0.0442,52.77,-0.0177,0.0219,-83.64,0.0000,0.0000,9.9,0.000000
9.65,0.0000,0.0000,0.00,-0.0044,0.0442,52.77,-0.0177,0.0219,-83.65,0.0000,0.0000,0.0,0.000000
10.15,0.0000,0.0000,0.00,-0.0044,0.0442,52.77,-0.0177,0.0219,-83.66,0.0000,0.0000,0.0,0.000000
10.66,0.0000,0.0000,0.00,-0.0044,0.0442,52.77,-0.0177,0.0219,-83.67,0.0000,0.0000,9.9,0.000000
11.16,0.0000,0.0000,0.00,-0.0044,0.0442,52.77,-0.0177,0.0219,-83.69,0.0000,0.0000,0.0,0.000000
11.67,0.0000,0.0000,0.00,-0.0044,0.0442,52.77,-0.0177,0.0219,-83.70,0.0000,0.0000,0.0,0.000000
12.17,0.0000,0.0000,0.00,-0.0044,0.0442,52.77,-0.0177,0.0219,-83.71,0.0000,0.0000,10.0,0.000000
12.68,0.0000,0.0000,0.00,-0.0044,0.0442,52.77,-0.0177,0.0219,-83.73,0.0000,0.0000,0.0,0.000000
13.18,0.0000,0.0000,0.00,-0.0044,0.0442,52.77,-0.0177,0.0219,-83.75,0.0000,0.0000,0.0,0.000000
13.68,0.0000,0.0000,0.00,-0.0044,0.0442,52.77,-0.0177,0.0219,-83.77,0.0000,0.0000,9.9,0.000000
14.18,0.0000,0.0000,0.00,-0.0044,0.0442,52.77,-0.0177,0.0219,-83.80,0.0000,0.0000,0.0,0.000000
14.68,0.0000,0.0000,0.00,-0.0044,0.0442,52.77,-0.0177,0.0219,-83.82,0.0000,0.0000,0.0,0.000000
15.20,0.0000,0.0000,0.00,-0.0044,0.0442,52.77,-0.0177,0.0219,-83.83,0.0000,0.0003,9.9,0.000000
15.70,0.0000,0.0000,0.00,-0.0044,0.0442,52.77,-0.0177,0.0220,-83.83,-0.0003,0.0003,0.0,0.000000
16.20,0.0000,0.0000,0.00,-0.0044,0.0442,52.77,-0.0209,0.0193,-82.97,0.0000,-0.0197,0.0,0.000000
16.70,-0.0692,0.0473,-28.40,-0.0412,0.0524,52.97,-0.0209,0.0203,-81.25,-0.0002,0.0200,10.0,0.075303
17.22,-0.0661,0.0672,-27.16,-0.0339,0.0706,52.76,-0.0296,0.0233,-79.41,-0.0491,-0.0020,0.0,0.037767
17.73,-0.1497,0.0778,-25.78,-0.1051,0.0984,52.91,-0.0614,0.0237,-78.75,-0.0602,0.0137,0.0,0.152288
18.23,-0.1582,0.0960,-26.92,-0.0872,0.1337,53.31,-0.0739,0.0401,-80.81,-0.0208,0.0300,10.5,0.078501
18.74,-0.1582,0.0960,-26.92,-0.0872,0.1337,53.31,-0.0912,0.0444,-81.20,-0.0300,-0.0000,0.0,0.000000
19.25,-0.1805,0.0910,-27.61,-0.0891,0.1408,53.77,-0.1067,0.0444,-80.83,-0.0210,-0.0000,0.0,0.014529
19.75,-0.1805,0.0910,-27.61,-0.0891,0.1408,53.77,-0.1121,0.0444,-81.10,-0.0201,-0.0000,9.9,0.000000
20.25,-0.1745,0.0670,-27.47,-0.0696,0.1345,53.61,-0.1286,0.0444,-80.65,-0.0529,0.0020,0.0,0.040849
20.76,-0.2386,0.0501,-26.19,-0.0855,0.1210,55.46,-0.1942,0.0451,-81.18,-0.2394,0.0003,0.0,0.040949
21.26,-0.3566,-0.0861,-22.83,-0.1225,0.2038,57.85,-0.3763,0.0439,-80.64,-0.4458,-0.0182,9.9,0.179995
21.76,-0.5135,-0.1885,-21.68,-0.2046,0.2746,59.71,-0.5608,0.0328,-81.49,-0.2165,-0.0204,0.0,0.216448
22.26,-0.5489,-0.2084,-21.57,-0.2278,0.2960,60.27,-0.6078,0.0286,-82.78,-0.0393,0.0000,0.0,0.062933
