elapsed_s,fc_vx,fc_vy,odom_vx,odom_vy,filt_vx,filt_vy,filt_px,filt_py,odom_base_x,odom_base_y,odom_base_yaw,map_odom_x,map_odom_y,map_odom_yaw,amcl_x,amcl_y,amcl_yaw,amcl_delta,pos_gap_x,pos_gap_y,odom_drift_speed
0.21,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.17,0.0000,-0.0000,0.11,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
0.41,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.18,0.0000,-0.0000,0.11,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
0.61,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.18,0.0000,-0.0000,0.11,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
0.81,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.18,0.0000,-0.0000,0.11,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
1.02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.18,0.0000,-0.0000,0.11,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
1.22,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.18,0.0000,-0.0000,0.11,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
1.42,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.18,0.0000,-0.0000,0.11,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
1.62,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.17,0.0000,-0.0000,0.11,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
1.83,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.17,0.0000,-0.0000,0.11,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
2.03,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.17,0.0000,-0.0000,0.11,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
2.24,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.18,0.0000,-0.0000,0.11,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
2.44,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.19,0.0000,-0.0000,0.11,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
2.64,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.19,0.0000,-0.0000,0.11,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
2.85,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.19,0.0000,-0.0000,0.11,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
3.05,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.20,0.0000,-0.0000,0.11,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
3.25,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.19,0.0000,-0.0000,0.11,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
3.45,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.20,0.0000,-0.0000,0.11,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
3.66,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.20,0.0000,-0.0000,0.11,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
3.86,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.20,0.0000,-0.0000,0.11,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
4.06,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.20,0.0000,-0.0000,0.11,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
4.27,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.21,0.0000,-0.0000,0.11,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
4.47,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.21,0.0000,-0.0000,0.11,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
4.67,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.22,0.0000,-0.0000,0.11,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
4.87,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.22,0.0000,-0.0000,0.11,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
5.08,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.22,0.0000,-0.0000,0.11,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
5.28,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.22,0.0000,-0.0000,0.11,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
5.48,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.23,0.0000,-0.0000,0.11,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
5.68,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.22,0.0000,-0.0000,0.11,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
5.88,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.23,0.0000,-0.0000,0.11,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
6.09,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.23,0.0000,-0.0000,0.11,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
6.29,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.22,0.0000,-0.0000,0.11,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
6.49,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.23,0.0000,-0.0000,0.11,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
6.69,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.23,0.0000,-0.0000,0.11,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
6.89,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.23,0.0000,-0.0000,0.11,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
7.09,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.22,0.0000,-0.0000,0.11,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
7.29,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.19,0.0000,-0.0000,0.11,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
7.50,0.0000,0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.08,0.0000,-0.0000,0.11,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
7.70,0.0100,0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.89,-0.0004,-0.0001,0.14,-0.0004,-0.0001,0.65,0.001862,0.0004,0.0001,0.0000
7.90,0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.15,-0.0009,-0.0001,0.16,-0.0009,-0.0001,1.27,0.002494,0.0009,0.0001,0.0000
8.10,0.0200,-0.0200,0.0200,-0.0200,0.0194,-0.0175,0.0013,-0.0006,0.0010,-0.0004,-0.17,0.0001,0.0010,0.19,0.0010,0.0008,0.04,0.007511,0.0003,-0.0014,0.0261
8.30,0.0000,-0.0100,0.0000,0.0000,0.0000,-0.0100,0.0019,-0.0040,0.0019,-0.0040,-0.41,0.0001,0.0010,0.19,0.0010,0.0008,0.04,0.000000,0.0009,-0.0048,0.0100
8.51,0.0000,-0.0100,0.0000,0.0000,0.0000,-0.0000,0.0018,-0.0038,0.0018,-0.0038,-0.14,0.0001,0.0010,0.19,0.0010,0.0008,0.04,0.000000,0.0008,-0.0046,0.0000
8.71,0.0100,-0.0100,0.0000,0.0000,0.0000,-0.0000,0.0017,-0.0035,0.0017,-0.0035,0.69,-0.0012,0.0007,0.25,0.0005,-0.0029,0.76,0.006865,0.0012,-0.0007,0.0000
8.91,-0.0100,-0.0100,0.0000,0.0000,0.0000,-0.0000,0.0017,-0.0035,0.0017,-0.0035,0.27,-0.0012,0.0007,0.25,0.0005,-0.0029,0.76,0.000000,0.0012,-0.0007,0.0000
9.11,-0.0500,-0.0100,-0.0500,0.0000,-0.0423,-0.0050,-0.0021,-0.0061,-0.0021,-0.0061,-0.85,-0.0023,-0.0001,0.22,-0.0009,-0.0045,0.08,0.006752,-0.0013,-0.0016,0.0000
9.31,-0.0700,0.0000,-0.0700,0.0000,-0.0687,-0.0000,-0.0135,-0.0061,-0.0135,-0.0061,-2.01,-0.0009,-0.0027,0.29,-0.0126,-0.0088,-1.65,0.014436,-0.0009,0.0027,0.0000
9.51,-0.0500,0.0000,-0.0500,0.0000,-0.0526,-0.0000,-0.0254,-0.0061,-0.0254,-0.0061,-1.67,0.0038,-0.0013,0.34,-0.0199,-0.0076,-1.43,0.024432,-0.0055,0.0015,0.0000
9.71,-0.0300,0.0100,-0.0300,0.0000,-0.0350,-0.0000,-0.0339,-0.0061,-0.0339,-0.0061,-1.85,0.0036,0.0015,0.33,-0.0254,-0.0047,-1.27,0.014279,-0.0085,-0.0014,0.0000
9.91,-0.0200,0.0000,-0.0200,0.0000,-0.0202,-0.0000,-0.0389,-0.0061,-0.0386,-0.0061,-1.79,0.0065,0.0015,0.45,-0.0292,-0.0049,-1.57,0.014530,-0.0097,-0.0012,0.0202
10.12,-0.0400,0.0000,-0.0400,0.0000,-0.0387,-0.0000,-0.0441,-0.0062,-0.0432,-0.0062,-1.25,0.0077,0.0025,0.58,-0.0345,-0.0041,-0.68,0.008114,-0.0096,-0.0021,0.0000
10.32,-0.0600,0.0000,-0.0600,0.0000,-0.0597,-0.0000,-0.0543,-0.0062,-0.0530,-0.0062,-1.66,0.0097,0.0015,0.58,-0.0411,-0.0052,-0.98,0.010804,-0.0132,-0.0010,0.0000
10.52,-0.1000,0.0000,-0.1000,0.0000,-0.1062,-0.0000,-0.0692,-0.0063,-0.0675,-0.0063,-2.23,0.0126,0.0009,0.66,-0.0521,-0.0061,-1.46,0.014728,-0.0172,-0.0002,0.0000
10.72,-0.0800,0.0000,-0.0800,0.0000,-0.0913,-0.0000,-0.0867,-0.0064,-0.0867,-0.0064,-2.90,0.0123,0.0043,1.07,-0.0719,-0.0036,-1.82,0.016949,-0.0148,-0.0028,0.0000
10.92,-0.0600,0.0200,-0.0600,0.0200,-0.0652,0.0100,-0.1028,-0.0064,-0.1018,-0.0066,-2.26,0.0154,0.0029,1.24,-0.0839,-0.0058,-1.12,0.017048,-0.0190,-0.0006,0.0000
11.13,-0.0200,0.0100,-0.0200,0.0000,-0.0310,0.0012,-0.1120,-0.0042,-0.1120,-0.0042,-2.03,0.0124,-0.0009,1.29,-0.0933,-0.0089,-0.76,0.023101,-0.0187,0.0048,0.0000
11.33,0.0000,0.0100,0.0000,0.0000,-0.0006,0.0000,-0.1144,-0.0044,-0.1144,-0.0044,-3.01,0.0078,0.0003,1.09,-0.1053,-0.0061,-1.05,0.023744,-0.0091,0.0017,0.0006
11.53,0.0100,0.0000,0.0000,0.0000,-0.0000,0.0000,-0.1143,-0.0046,-0.1143,-0.0046,-3.95,0.0053,0.0029,0.86,-0.1089,-0.0033,-2.45,0.017842,-0.0054,-0.0013,0.0000
11.73,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,-0.1143,-0.0048,-0.1143,-0.0048,-4.05,0.0068,0.0029,0.98,-0.1074,-0.0037,-3.04,0.007495,-0.0069,-0.0011,0.0000
11.93,-0.0200,-0.0100,-0.0200,0.0000,-0.0000,0.0000,-0.1143,-0.0049,-0.1143,-0.0049,-4.00,0.0068,0.0029,0.98,-0.1074,-0.0037,-3.04,0.000000,-0.0069,-0.0013,0.0000
12.13,-0.0200,0.0000,-0.0200,0.0000,-0.0200,0.0000,-0.1177,-0.0051,-0.1177,-0.0051,-3.56,0.0068,0.0029,0.98,-0.1074,-0.0037,-3.04,0.000000,-0.0103,-0.0014,0.0200
12.34,-0.0100,0.0000,0.0000,0.0000,-0.0100,0.0000,-0.1212,-0.0053,-0.1212,-0.0053,-3.43,0.0099,0.0073,0.99,-0.1085,0.0001,-2.45,0.026461,-0.0127,-0.0054,0.0100
12.54,-0.0100,0.0000,0.0000,0.0000,-0.0000,0.0000,-0.1211,-0.0055,-0.1211,-0.0055,-3.59,0.0099,0.0073,0.99,-0.1085,0.0001,-2.45,0.000000,-0.0126,-0.0056,0.0000
12.74,-0.0100,0.0000,0.0000,0.0000,-0.0000,0.0000,-0.1209,-0.0056,-0.1209,-0.0056,-3.54,0.0099,0.0073,0.99,-0.1085,0.0001,-2.45,0.000000,-0.0123,-0.0058,0.0000
12.94,-0.0100,0.0000,0.0000,0.0000,-0.0000,0.0000,-0.1206,-0.0058,-0.1206,-0.0058,-3.68,0.0099,0.0073,0.99,-0.1085,0.0001,-2.45,0.000000,-0.0121,-0.0059,0.0000
13.15,-0.0100,0.0000,0.0000,0.0000,-0.0000,0.0000,-0.1204,-0.0059,-0.1204,-0.0059,-3.64,0.0099,0.0073,0.99,-0.1085,0.0001,-2.45,0.000000,-0.0119,-0.0060,0.0000
13.35,-0.0100,0.0000,0.0000,0.0000,-0.0000,0.0000,-0.1202,-0.0060,-0.1202,-0.0060,-3.81,0.0099,0.0073,0.99,-0.1085,0.0001,-2.45,0.000000,-0.0117,-0.0062,0.0000
13.55,-0.0300,0.0000,-0.0200,0.0000,-0.0150,0.0000,-0.1205,-0.0061,-0.1205,-0.0061,-3.72,0.0099,0.0073,0.99,-0.1085,0.0001,-2.45,0.000000,-0.0120,-0.0063,0.0150
13.76,-0.0700,0.0000,-0.0700,0.0000,-0.0537,0.0000,-0.1272,-0.0063,-0.1272,-0.0063,-3.41,0.0121,0.0052,1.53,-0.1118,-0.0044,-1.95,0.015148,-0.0154,-0.0020,0.0000
13.96,-0.1200,-0.0200,-0.1200,0.0000,-0.1118,0.0000,-0.1447,-0.0067,-0.1428,-0.0066,-3.45,0.0114,0.0086,1.40,-0.1246,-0.0012,-2.07,0.017410,-0.0201,-0.0054,0.0000
14.16,-0.1600,-0.0200,-0.1600,0.0000,-0.1541,0.0000,-0.1703,-0.0070,-0.1672,-0.0070,-2.12,0.0015,0.0081,1.35,-0.1553,-0.0025,-1.25,0.048987,-0.0149,-0.0046,0.0000
