elapsed_s,odom_vel_x,odom_vel_y,filt_vel_x,filt_vel_y,filt_pos_x,filt_pos_y,tf_pos_x,tf_pos_y
1.00,0.000,0.000,0.001,0.000,0.074,0.024,0.074,0.024
2.00,0.000,0.000,0.000,0.000,0.077,0.024,0.077,0.024
3.01,0.000,0.000,0.001,0.000,0.078,0.024,0.078,0.024
4.01,0.000,0.000,0.002,0.000,0.080,0.024,0.080,0.024
5.01,0.000,0.000,0.003,0.000,0.082,0.024,0.082,0.024
6.01,0.000,0.000,-0.000,0.000,0.082,0.024,0.082,0.024
7.01,0.000,0.000,-0.001,0.000,0.081,0.024,0.081,0.024
8.02,0.000,0.000,0.003,0.000,0.082,0.024,0.082,0.024
9.02,0.000,0.000,0.000,0.000,0.083,0.024,0.083,0.024
10.03,0.000,0.000,0.002,0.000,0.084,0.024,0.084,0.024
11.04,0.000,0.000,0.004,0.000,0.086,0.024,0.086,0.024
12.04,0.000,0.000,0.002,0.000,0.089,0.024,0.089,0.024
13.04,0.000,0.000,0.003,0.000,0.092,0.024,0.092,0.024
14.04,0.000,0.000,0.003,0.000,0.094,0.024,0.094,0.024
15.04,0.000,0.000,0.002,0.000,0.096,0.024,0.096,0.024
16.05,0.000,0.000,0.002,0.000,0.099,0.024,0.099,0.024
17.05,0.000,0.000,0.001,0.000,0.101,0.024,0.101,0.024
18.05,0.000,0.000,0.000,0.000,0.103,0.024,0.103,0.024
19.05,0.000,0.000,-0.001,0.000,0.102,0.024,0.102,0.024
20.05,0.000,0.000,-0.002,0.000,0.102,0.024,0.102,0.024
21.06,0.000,0.000,-0.002,0.000,0.101,0.024,0.101,0.024
22.06,0.000,0.000,-0.002,0.000,0.101,0.024,0.101,0.024
23.06,-0.010,0.000,-0.005,0.000,0.101,0.024,0.101,0.024
24.07,0.000,0.000,-0.003,0.000,0.098,0.024,0.098,0.024
25.08,0.000,0.000,-0.002,0.000,0.096,0.024,0.096,0.024
26.08,0.000,0.000,-0.002,0.000,0.094,0.024,0.094,0.024
27.08,0.000,0.000,-0.002,0.000,0.093,0.024,0.093,0.024
28.08,0.000,0.000,-0.003,0.000,0.093,0.024,0.093,0.024
29.08,0.000,0.000,-0.002,0.000,0.091,0.024,0.091,0.024
30.09,0.000,0.000,-0.007,-0.008,0.090,0.017,0.090,0.017
31.09,0.000,-0.010,0.007,-0.005,0.084,0.019,0.084,0.019
32.10,-0.010,-0.010,0.017,-0.008,0.128,0.015,0.128,0.015
33.10,-0.030,-0.040,-0.031,-0.040,0.107,-0.006,0.107,-0.006
34.10,-0.220,-0.020,-0.253,-0.024,0.004,-0.042,0.004,-0.042
35.11,0.390,0.000,0.248,0.001,-0.129,-0.029,-0.134,-0.029
36.11,0.250,0.000,0.316,-0.004,0.239,-0.031,0.230,-0.031
37.11,0.060,0.000,0.124,-0.000,0.457,-0.032,0.456,-0.032
38.11,-0.010,0.010,0.002,0.007,0.500,-0.023,0.500,-0.023
39.12,-0.050,0.020,-0.043,0.018,0.481,-0.011,0.481,-0.011
40.13,-0.020,0.010,-0.033,0.019,0.432,0.007,0.433,0.007
41.13,0.250,-0.040,0.322,-0.035,0.557,0.021,0.547,0.023
42.13,-0.540,0.040,-0.463,0.029,0.502,0.002,0.502,0.002
43.14,-0.220,0.020,-0.325,0.028,0.057,0.044,0.057,0.044
44.14,-0.020,0.000,-0.084,0.003,-0.124,0.060,-0.124,0.060
45.15,0.040,0.010,0.017,0.009,-0.153,0.060,-0.153,0.059
46.15,0.070,0.250,0.061,0.292,-0.107,0.164,-0.107,0.164
47.15,-0.020,-0.150,-0.014,-0.070,-0.077,0.255,-0.077,0.255
48.16,0.010,-0.370,0.003,-0.371,-0.092,0.054,-0.092,0.054
49.17,0.030,-0.120,0.019,-0.189,-0.080,-0.255,-0.080,-0.250
50.17,0.010,0.010,0.011,-0.021,-0.065,-0.340,-0.065,-0.340
51.17,0.010,0.040,0.013,0.033,-0.057,-0.327,-0.057,-0.327
52.18,0.000,0.030,-0.001,0.033,-0.054,-0.292,-0.054,-0.292
53.18,0.000,0.030,-0.003,0.036,-0.057,-0.259,-0.057,-0.259
54.19,-0.020,-0.260,-0.026,-0.266,-0.062,-0.293,-0.061,-0.290
55.19,-0.010,0.210,-0.021,0.114,-0.082,-0.614,-0.082,-0.614
56.20,-0.050,0.300,-0.065,0.355,-0.122,-0.290,-0.122,-0.290
57.21,0.000,0.120,-0.020,0.175,-0.167,-0.029,-0.167,-0.032
58.21,0.030,-0.010,0.015,0.012,-0.168,0.041,-0.169,0.041
59.21,0.020,-0.030,0.019,-0.036,-0.155,0.021,-0.156,0.021
60.21,0.020,-0.020,0.025,-0.025,-0.133,-0.012,-0.133,-0.012
61.22,0.020,-0.010,0.026,-0.014,-0.107,-0.033,-0.107,-0.033
62.22,0.010,-0.010,0.019,-0.010,-0.084,-0.045,-0.084,-0.045
63.22,0.010,0.000,0.018,-0.002,-0.066,-0.052,-0.066,-0.052
64.22,0.010,0.000,0.016,-0.000,-0.048,-0.053,-0.048,-0.053
65.22,0.000,0.000,0.012,-0.000,-0.031,-0.053,-0.031,-0.053
66.23,0.000,0.000,0.007,-0.000,-0.022,-0.053,-0.022,-0.053
67.23,0.000,0.000,0.006,-0.000,-0.015,-0.053,-0.015,-0.053
68.23,0.000,0.000,0.010,-0.000,-0.008,-0.053,-0.008,-0.053
69.23,0.000,0.000,0.007,-0.000,0.001,-0.053,0.001,-0.053
70.24,0.000,0.000,0.008,-0.000,0.010,-0.053,0.010,-0.053
71.24,0.000,0.000,0.005,-0.000,0.016,-0.053,0.016,-0.053
72.25,0.000,0.000,0.007,-0.000,0.021,-0.053,0.021,-0.053
73.25,0.000,0.000,0.006,-0.000,0.027,-0.053,0.027,-0.053
74.25,0.000,0.000,0.006,-0.000,0.033,-0.053,0.033,-0.053
75.25,0.000,0.000,0.006,-0.000,0.038,-0.053,0.038,-0.053
76.26,0.000,0.000,0.007,-0.000,0.044,-0.053,0.044,-0.053
77.26,0.000,0.000,0.007,-0.000,0.051,-0.053,0.051,-0.053
78.26,0.000,0.000,0.006,-0.000,0.057,-0.053,0.057,-0.053
79.27,0.000,0.000,0.006,-0.000,0.063,-0.053,0.063,-0.053
80.27,0.000,0.000,0.006,-0.000,0.070,-0.053,0.070,-0.053
81.28,0.000,0.000,0.004,-0.000,0.076,-0.053,0.076,-0.053
82.28,0.000,0.000,0.003,-0.000,0.079,-0.053,0.079,-0.053
83.28,0.000,0.000,0.003,-0.000,0.083,-0.053,0.083,-0.053
84.28,0.000,0.000,0.004,-0.000,0.087,-0.053,0.087,-0.053
85.28,0.000,0.000,0.006,-0.000,0.093,-0.053,0.093,-0.053
86.29,0.000,0.000,0.010,-0.000,0.100,-0.053,0.100,-0.053
87.29,0.000,0.000,0.014,-0.000,0.113,-0.053,0.113,-0.053
88.30,0.000,0.000,0.005,-0.000,0.124,-0.053,0.124,-0.053
89.30,0.000,0.000,0.007,0.002,0.129,-0.053,0.129,-0.053
90.31,-0.020,0.000,-0.012,-0.008,0.126,-0.053,0.126,-0.052
91.31,0.040,-0.060,0.048,-0.049,0.144,-0.057,0.143,-0.056
92.31,-0.010,-0.040,-0.000,-0.062,0.166,-0.135,0.166,-0.135
93.32,-0.010,-0.020,-0.007,-0.039,0.161,-0.184,0.161,-0.184
94.33,-0.220,0.040,-0.257,0.028,0.076,-0.191,0.082,-0.191
95.33,0.440,-0.030,0.300,-0.048,0.001,-0.213,0.001,-0.213
96.34,0.410,0.000,0.489,-0.008,0.454,-0.230,0.454,-0.230
97.35,0.110,0.000,0.194,-0.003,0.806,-0.231,0.804,-0.231
98.35,-0.040,0.020,-0.002,0.005,0.883,-0.232,0.883,-0.232
99.36,-0.070,0.010,-0.065,0.007,0.838,-0.226,0.838,-0.226
100.37,-0.050,0.010,-0.060,0.007,0.771,-0.221,0.773,-0.221
101.38,-0.020,0.000,-0.026,-0.004,0.726,-0.219,0.726,-0.219
102.38,0.190,-0.010,0.262,-0.018,0.852,-0.222,0.852,-0.222
103.38,-0.590,0.070,-0.491,0.056,0.810,-0.221,0.810,-0.221
104.38,-0.350,0.050,-0.483,0.052,0.245,-0.177,0.245,-0.177
105.39,-0.080,0.000,-0.176,0.003,-0.079,-0.146,-0.076,-0.146
106.39,0.030,-0.010,-0.015,-0.015,-0.148,-0.152,-0.147,-0.152
107.39,0.060,0.000,0.046,-0.002,-0.125,-0.160,-0.125,-0.160
108.40,0.030,0.300,0.022,0.325,-0.087,-0.072,-0.087,-0.072
109.40,-0.030,-0.130,-0.031,-0.020,-0.083,0.227,-0.083,0.227
110.41,-0.030,-0.220,-0.056,-0.256,-0.152,-0.004,-0.151,0.002
111.41,0.000,-0.060,-0.013,-0.117,-0.185,-0.199,-0.185,-0.199
112.41,0.010,0.000,-0.003,-0.030,-0.190,-0.268,-0.190,-0.268
113.42,0.020,0.010,0.003,0.002,-0.190,-0.277,-0.190,-0.277
114.42,-0.050,-0.210,-0.063,-0.220,-0.204,-0.310,-0.204,-0.310
115.43,0.100,0.200,0.083,0.115,-0.224,-0.514,-0.226,-0.517
116.43,-0.050,0.340,-0.042,0.377,-0.190,-0.204,-0.190,-0.204
117.43,-0.050,0.140,-0.058,0.225,-0.239,0.112,-0.239,0.109
118.43,0.000,0.020,-0.020,0.067,-0.273,0.247,-0.273,0.246
119.43,0.050,0.020,0.045,0.045,-0.256,0.292,-0.256,0.292
