elapsed_s,fc_vx,fc_vy,odom_vx,odom_vy,filt_vx,filt_vy,filt_px,filt_py,odom_base_x,odom_base_y,odom_base_yaw,map_odom_x,map_odom_y,map_odom_yaw,amcl_x,amcl_y,amcl_yaw,amcl_delta,pos_gap_x,pos_gap_y,odom_drift_speed
0.21,0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-48.94,-0.0867,0.0459,22.27,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
0.41,0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-48.95,-0.0867,0.0459,22.27,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
0.61,0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-48.95,-0.0867,0.0459,22.27,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
0.81,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-48.94,-0.0867,0.0459,22.27,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
1.01,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-48.96,-0.0867,0.0459,22.27,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
1.21,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-48.96,-0.0867,0.0459,22.27,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
1.42,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-48.99,-0.0867,0.0459,22.27,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
1.62,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-48.99,-0.0867,0.0459,22.27,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
1.82,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-48.99,-0.0867,0.0459,22.27,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
2.03,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-48.99,-0.0867,0.0459,22.27,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
2.23,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-49.00,-0.0867,0.0459,22.27,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
2.43,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-49.01,-0.0867,0.0459,22.27,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
2.64,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-49.00,-0.0867,0.0459,22.27,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
2.84,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-49.02,-0.0867,0.0459,22.27,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
3.04,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-49.02,-0.0867,0.0459,22.27,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
3.24,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-49.02,-0.0867,0.0459,22.27,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
3.44,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-49.02,-0.0867,0.0459,22.27,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
3.64,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-49.02,-0.0867,0.0459,22.27,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
3.84,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-49.02,-0.0867,0.0459,22.27,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
4.05,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-49.03,-0.0867,0.0459,22.27,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
4.25,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-49.03,-0.0867,0.0459,22.27,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
4.45,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-49.03,-0.0867,0.0459,22.27,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
4.66,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-49.03,-0.0867,0.0459,22.27,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
4.86,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-49.04,-0.0867,0.0459,22.27,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
5.06,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-49.04,-0.0867,0.0459,22.27,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
5.27,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-49.04,-0.0867,0.0459,22.27,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
5.47,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-49.05,-0.0867,0.0459,22.27,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
5.67,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-49.05,-0.0867,0.0459,22.27,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
5.87,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-49.05,-0.0867,0.0459,22.27,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
6.07,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-49.05,-0.0867,0.0459,22.27,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
6.27,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-49.05,-0.0867,0.0459,22.27,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
6.47,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-49.05,-0.0867,0.0459,22.27,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
6.68,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-49.06,-0.0867,0.0459,22.27,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
6.88,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-49.07,-0.0867,0.0459,22.27,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
7.08,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-49.08,-0.0867,0.0459,22.27,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
7.28,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-49.09,-0.0867,0.0459,22.27,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
7.48,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-49.09,-0.0867,0.0459,22.27,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
