elapsed_s,fc_vx,fc_vy,odom_vx,odom_vy,filt_vx,filt_vy,filt_px,filt_py,odom_base_x,odom_base_y,odom_base_yaw,map_odom_x,map_odom_y,map_odom_yaw,amcl_x,amcl_y,amcl_yaw,amcl_delta,pos_gap_x,pos_gap_y,odom_drift_speed
0.20,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
0.40,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
0.61,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.29,0.0000,-0.0000,0.11,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
0.81,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.30,0.0000,-0.0000,0.11,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
1.01,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.30,0.0000,-0.0000,0.11,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
1.21,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.30,0.0000,-0.0000,0.11,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
1.41,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.30,0.0000,-0.0000,0.11,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
1.61,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.30,0.0000,-0.0000,0.11,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
1.83,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.31,0.0000,-0.0000,0.11,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
2.03,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.31,0.0000,-0.0000,0.11,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
