elapsed_s,fc_vx,fc_vy,odom_vx,odom_vy,filt_vx,filt_vy,filt_px,filt_py,odom_base_x,odom_base_y,odom_base_yaw,map_odom_x,map_odom_y,map_odom_yaw,amcl_x,amcl_y,amcl_yaw,amcl_delta,pos_gap_x,pos_gap_y,odom_drift_speed
0.21,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.40,0.0000,-0.0000,0.17,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
0.41,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.41,0.0000,-0.0000,0.17,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
0.61,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.41,0.0000,-0.0000,0.17,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
0.81,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.42,0.0000,-0.0000,0.17,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
1.01,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.42,0.0000,-0.0000,0.17,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
1.21,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.42,0.0000,-0.0000,0.17,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
1.41,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.43,0.0000,-0.0000,0.17,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
1.62,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.43,0.0000,-0.0000,0.17,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
1.82,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.43,0.0000,-0.0000,0.17,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
2.03,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.44,0.0000,-0.0000,0.17,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
2.23,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.44,0.0000,-0.0000,0.17,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
2.43,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.45,0.0000,-0.0000,0.17,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
2.63,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.44,0.0000,-0.0000,0.17,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
2.84,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.44,0.0000,-0.0000,0.17,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
3.04,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.43,0.0000,-0.0000,0.17,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
3.24,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.44,0.0000,-0.0000,0.17,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
3.44,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.43,0.0000,-0.0000,0.17,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
3.64,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.44,0.0000,-0.0000,0.17,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
3.84,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.44,0.0000,-0.0000,0.17,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
4.05,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.44,0.0000,-0.0000,0.17,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
4.26,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.43,0.0000,-0.0000,0.17,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
4.46,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.44,0.0000,-0.0000,0.17,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
4.66,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.44,0.0000,-0.0000,0.17,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
4.87,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.43,0.0000,-0.0000,0.17,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
5.07,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.42,0.0000,-0.0000,0.17,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
5.27,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.42,0.0000,-0.0000,0.17,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
5.47,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.43,0.0000,-0.0000,0.17,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
5.68,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.44,0.0000,-0.0000,0.17,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
5.88,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.44,0.0000,-0.0000,0.17,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
6.09,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.44,0.0000,-0.0000,0.17,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
6.29,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.44,0.0000,-0.0000,0.17,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
6.49,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.45,0.0000,-0.0000,0.17,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
6.70,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.44,0.0000,-0.0000,0.17,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
