elapsed_s,fc_vx,fc_vy,odom_vx,odom_vy,filt_vx,filt_vy,tf_px,tf_py,dir_flag
0.20,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.40,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.61,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.82,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.22,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.42,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.63,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.83,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.03,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.24,-0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.44,-0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.64,-0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.85,-0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.05,-0.0200,0.0000,-0.0200,0.0000,-0.0097,0.0000,-0.0011,0.0000,0
3.26,-0.0200,0.0000,-0.0200,0.0000,-0.0200,0.0000,-0.0045,0.0000,0
3.46,-0.0200,0.0000,-0.0200,0.0000,-0.0200,0.0000,-0.0088,0.0000,0
3.67,-0.0200,0.0000,-0.0200,0.0000,-0.0125,0.0000,-0.0129,0.0000,0
3.87,-0.0100,0.0000,0.0000,0.0000,-0.0000,0.0000,-0.0140,0.0000,0
4.08,-0.0100,0.0000,0.0000,0.0000,-0.0000,0.0000,-0.0140,0.0000,0
4.28,-0.0100,0.0000,0.0000,0.0000,-0.0000,0.0000,-0.0140,0.0000,0
