elapsed_s,fc_vx,fc_vy,filt_vx,filt_vy,dvx,dvy,overshoot_flag
0.101,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.202,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.303,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.414,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.524,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.634,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.737,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.847,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.954,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.065,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.168,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.269,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.383,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.491,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.615,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.728,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.834,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.936,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.042,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.202,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.305,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.428,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.543,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.668,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.784,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.891,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.994,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.097,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.199,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.301,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.410,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.533,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.644,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.749,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.849,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.961,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
4.063,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
4.164,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
4.265,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
4.377,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
4.491,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
4.597,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
4.703,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
4.804,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
4.905,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
5.014,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
5.126,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
5.237,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
5.340,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
5.443,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
5.543,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
5.644,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
5.754,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
5.855,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
5.963,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
6.065,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
6.166,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
6.268,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
6.376,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
6.484,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
6.588,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
6.688,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
6.794,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
6.897,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
7.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
7.100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
7.203,0.0000,0.0000,-0.0001,0.0000,0.0000,0.0000,0
7.307,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
7.414,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
7.515,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
7.621,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
7.724,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
7.835,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
7.940,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
8.043,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
8.154,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
8.254,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
8.354,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
8.458,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
8.559,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
8.667,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
8.767,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
8.876,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
8.987,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
9.088,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
9.197,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
9.299,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
9.402,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
9.504,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
9.605,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
9.705,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
9.805,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
9.915,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
10.020,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
10.125,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
10.225,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
10.326,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
10.435,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
10.540,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
10.642,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
10.742,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
10.844,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
10.953,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
11.054,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
11.155,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
11.256,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
11.364,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
11.466,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
11.576,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
11.686,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
11.788,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
11.895,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
11.998,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
12.099,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
12.206,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
12.320,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
12.421,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
12.523,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
12.625,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
12.725,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
12.833,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
12.937,0.0000,0.0000,-0.0002,0.0002,0.0000,0.0000,0
13.041,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0
13.143,0.0000,0.0000,0.0000,-0.0001,0.0000,0.0000,0
13.252,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0
13.354,0.0000,0.0000,0.0003,0.0000,0.0000,0.0000,0
13.459,0.0000,0.0000,-0.0003,0.0000,0.0000,0.0000,0
13.560,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0
13.665,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0
13.771,-0.0100,0.0100,0.0003,-0.0000,-0.0942,0.0942,0
13.875,-0.0100,0.0100,0.0000,-0.0000,0.0000,0.0000,0
13.980,-0.0100,0.0100,0.0000,0.0003,0.0000,0.0000,0
14.081,0.0000,0.0000,0.0000,0.0002,0.0988,-0.0988,0
14.182,-0.0100,-0.0100,0.0000,0.0000,-0.0989,-0.0989,0
14.284,-0.0100,-0.0100,0.0000,-0.0000,0.0000,0.0000,0
14.387,-0.0100,-0.0100,0.0000,-0.0000,0.0000,0.0000,0
14.493,0.0000,-0.0200,-0.0000,-0.0000,0.0946,-0.0946,0
14.600,0.0000,-0.0100,-0.0000,-0.0203,0.0000,0.0935,0
14.705,0.0100,0.0000,-0.0000,-0.0004,0.0951,0.0951,0
14.806,0.0200,0.0000,-0.0000,-0.0000,0.0994,0.0000,0
14.908,0.0400,0.0000,0.0289,-0.0000,0.1968,0.0000,0
15.015,0.0500,0.0000,0.0460,-0.0010,0.0933,0.0000,0
15.121,0.0700,-0.0100,0.0603,-0.0004,0.1884,-0.0942,0
15.227,0.0800,-0.0100,0.0750,-0.0055,0.0941,0.0000,0
15.336,0.0800,-0.0200,0.0785,-0.0035,0.0000,-0.0915,0
15.438,0.0800,-0.0200,0.0850,-0.0031,0.0000,0.0000,0
15.539,0.0700,-0.0200,0.0837,-0.0061,-0.0988,0.0000,0
15.642,0.0600,-0.0200,0.0640,-0.0140,-0.0970,0.0000,0
15.742,0.0400,-0.0200,0.0455,-0.0257,-0.2000,0.0000,0
15.844,0.0300,-0.0200,0.0401,-0.0200,-0.0979,0.0000,0
15.954,0.0300,-0.0200,0.0300,-0.0209,0.0000,0.0000,0
16.055,0.0300,-0.0200,0.0300,-0.0200,0.0000,0.0000,0
16.160,0.0300,-0.0100,0.0300,-0.0041,0.0000,0.0952,0
16.263,0.0300,-0.0100,0.0295,-0.0000,0.0000,0.0000,0
16.365,0.0400,0.0000,0.0390,-0.0000,0.0975,0.0975,0
16.473,0.0400,0.0000,0.0400,-0.0000,0.0000,0.0000,0
16.582,0.0400,0.0000,0.0400,-0.0004,0.0000,0.0000,0
16.688,0.0300,0.0100,0.0301,-0.0002,-0.0944,0.0944,0
16.793,0.0300,0.0100,0.0300,-0.0000,0.0000,0.0000,0
16.899,0.0300,0.0100,0.0300,-0.0000,0.0000,0.0000,0
16.999,0.0300,0.0200,0.0300,0.0196,0.0000,0.0995,0
17.106,0.0300,0.0200,0.0300,0.0200,0.0000,0.0000,0
17.217,0.0300,0.0200,0.0300,0.0200,0.0000,0.0000,0
17.320,0.0200,0.0200,0.0200,0.0200,-0.0969,0.0000,0
17.424,0.0100,0.0200,0.0200,0.0200,-0.0967,0.0000,0
17.533,0.0100,0.0200,0.0000,0.0200,0.0000,0.0000,0
17.633,0.0200,0.0200,0.0000,0.0200,0.0992,0.0000,0
17.736,0.0200,0.0100,0.0200,0.0200,0.0000,-0.0977,0
17.843,0.0100,0.0100,0.0000,0.0000,-0.0934,0.0000,0
17.947,0.0100,0.0100,0.0000,0.0000,0.0000,0.0000,0
18.053,0.0100,0.0100,0.0000,0.0000,0.0000,0.0000,0
18.160,0.0100,0.0100,0.0000,-0.0002,0.0000,0.0000,0
18.263,0.0100,0.0100,0.0000,-0.0005,0.0000,0.0000,0
18.375,0.0100,0.0200,0.0000,0.0200,0.0000,0.0898,0
18.479,0.0100,0.0200,0.0000,0.0200,0.0000,0.0000,0
18.579,0.0100,0.0100,0.0000,0.0020,0.0000,-0.0998,0
18.682,0.0100,0.0100,0.0000,0.0000,0.0000,0.0000,0
