2026-07-19 16:52:09,967 INFO [TX #24] 0xF5 cur=(0.0, 0.0, 0.0) tar=(100.0, 0.0, 0.0) flags=0x03
2026-07-19 16:52:09,970 INFO [RX 0xA0 GREEN] F5 #25 f=03 c=0,0,0 t=100,0,0
2026-07-19 16:52:10,068 INFO [TX #25] 0xF5 cur=(0.0, 0.0, 0.0) tar=(100.0, 0.0, 0.0) flags=0x03
2026-07-19 16:52:10,072 INFO [RX 0xA0 GREEN] F5 #26 f=03 c=0,0,0 t=100,0,0
2026-07-19 16:52:10,170 INFO [TX #26] 0xF5 cur=(0.0, 0.0, 0.0) tar=(100.0, 0.0, 0.0) flags=0x03
2026-07-19 16:52:10,174 INFO [RX 0xA0 GREEN] F5 #27 f=03 c=0,0,0 t=100,0,0
2026-07-19 16:52:10,272 INFO [TX #27] 0xF5 cur=(0.0, 0.0, 0.0) tar=(100.0, 0.0, 0.0) flags=0x03
2026-07-19 16:52:10,276 INFO [RX 0xA0 GREEN] F5 #28 f=03 c=0,0,0 t=100,0,0
2026-07-19 16:52:10,374 INFO [TX #28] 0xF5 cur=(0.0, 0.0, 0.0) tar=(100.0, 0.0, 0.0) flags=0x03
2026-07-19 16:52:10,378 INFO [RX 0xA0 GREEN] F5 #29 f=03 c=0,0,0 t=100,0,0
2026-07-19 16:52:10,476 INFO [TX #29] 0xF5 cur=(0.0, 0.0, 0.0) tar=(100.0, 0.0, 0.0) flags=0x03
2026-07-19 16:52:10,480 INFO [RX 0xA0 GREEN] F5 #30 f=03 c=0,0,0 t=100,0,0
2026-07-19 16:52:10,577 INFO [TX #30] 0xF5 cur=(0.0, 0.0, 0.0) tar=(100.0, 0.0, 0.0) flags=0x03
2026-07-19 16:52:10,581 INFO [RX 0xA0 GREEN] F5 #31 f=03 c=0,0,0 t=100,0,0
2026-07-19 16:52:11,688 INFO serial closed
