elapsed_s,fc_vx,fc_vy,odom_vx,odom_vy,filt_vx,filt_vy,tf_px,tf_py,dir_flag
49.42,-0.0900,0.0200,-0.0900,0.0200,-0.0899,-0.0000,0.0680,0.0831,0
49.62,-0.0800,0.0200,-0.0800,0.0200,-0.0799,-0.0000,0.0517,0.0831,0
49.83,-0.0800,0.0100,-0.0800,0.0000,-0.0798,-0.0000,0.0358,0.0831,0
50.04,-0.0700,0.0100,-0.0700,0.0000,-0.0799,-0.0000,0.0192,0.0831,0
50.24,-0.0700,0.0100,-0.0700,0.0000,-0.0700,-0.0000,0.0048,0.0831,0
50.44,-0.0600,0.0100,-0.0600,0.0000,-0.0600,-0.0000,-0.0088,0.0831,0
50.64,-0.0600,0.0100,-0.0600,0.0000,-0.0600,-0.0000,-0.0197,0.0831,0
50.84,-0.0500,0.0100,-0.0500,0.0000,-0.0500,-0.0000,-0.0316,0.0831,0
51.04,-0.0500,0.0100,-0.0500,0.0000,-0.0500,-0.0000,-0.0415,0.0831,0
51.24,-0.0400,0.0100,-0.0400,0.0000,-0.0500,-0.0000,-0.0515,0.0831,0
51.44,-0.0400,0.0100,-0.0400,0.0000,-0.0420,-0.0000,-0.0605,0.0831,0
51.65,-0.0500,0.0100,-0.0500,0.0000,-0.0495,-0.0000,-0.0699,0.0831,0
51.85,-0.0400,0.0100,-0.0400,0.0000,-0.0415,-0.0000,-0.0800,0.0831,0
52.06,-0.0400,0.0100,-0.0400,0.0000,-0.0400,-0.0000,-0.0889,0.0831,0
52.26,-0.0400,0.0100,-0.0400,0.0000,-0.0395,-0.0000,-0.0972,0.0831,0
52.46,-0.0500,0.0100,-0.0500,0.0000,-0.0494,-0.0000,-0.1064,0.0831,0
52.66,-0.0400,0.0100,-0.0400,0.0000,-0.0400,-0.0000,-0.1156,0.0831,0
52.86,-0.0400,0.0100,-0.0400,0.0000,-0.0396,-0.0000,-0.1238,0.0831,0
53.06,-0.0400,0.0100,-0.0400,0.0000,-0.0395,-0.0000,-0.1317,0.0831,0
53.26,-0.0400,0.0100,-0.0400,0.0000,-0.0394,-0.0000,-0.1408,0.0831,0
53.46,-0.0400,0.0100,-0.0400,0.0000,-0.0399,-0.0000,-0.1492,0.0831,0
53.67,-0.0500,0.0100,-0.0500,0.0000,-0.0497,-0.0000,-0.1579,0.0831,0
53.88,-0.0400,-0.0000,-0.0400,0.0000,-0.0401,-0.0000,-0.1678,0.0831,0
54.08,-0.0400,-0.0000,-0.0400,0.0000,-0.0399,-0.0000,-0.1756,0.0831,0
54.28,-0.0400,-0.0000,-0.0400,0.0000,-0.0395,-0.0000,-0.1846,0.0831,0
54.48,-0.0400,-0.0000,-0.0400,0.0000,-0.0398,-0.0000,-0.1923,0.0831,0
