elapsed_s,amcl_x,amcl_y,amcl_yaw_deg,map_odom_x,map_odom_y,map_odom_yaw_deg,odom_base_x,odom_base_y,odom_base_yaw_deg,filt_vx,filt_vy,scan_hz,amcl_active
0.52,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.0,0.000000
1.02,0.0000,0.0000,0.00,-0.0010,-0.0001,4.09,0.0000,0.0000,0.00,0.0000,0.0000,0.0,0.001928
1.53,0.0000,0.0000,0.00,-0.0010,-0.0001,4.09,-0.0001,-0.0071,-23.06,0.0000,0.0000,0.7,0.000000
2.03,0.0000,0.0000,0.00,-0.0010,-0.0001,4.09,-0.0001,-0.0071,-23.09,0.0000,0.0000,0.0,0.000000
2.53,0.0000,0.0000,0.00,-0.0010,-0.0001,4.09,-0.0001,-0.0071,-23.09,0.0000,0.0000,0.0,0.000000
3.03,0.0000,0.0000,0.00,-0.0010,-0.0001,4.09,-0.0001,-0.0071,-23.09,0.0000,0.0000,10.0,0.000000
3.54,0.0000,0.0000,0.00,-0.0010,-0.0001,4.09,-0.0001,-0.0071,-23.07,0.0000,0.0000,0.0,0.000000
4.05,0.0000,0.0000,0.00,-0.0010,-0.0001,4.09,-0.0001,-0.0071,-23.06,0.0000,0.0000,0.0,0.000000
4.55,0.0000,0.0000,0.00,-0.0010,-0.0001,4.09,-0.0001,-0.0071,-23.06,0.0000,0.0000,10.5,0.000000
5.05,0.0000,0.0000,0.00,-0.0010,-0.0001,4.09,-0.0001,-0.0071,-23.05,0.0000,0.0000,0.0,0.000000
5.55,0.0000,0.0000,0.00,-0.0010,-0.0001,4.09,-0.0001,-0.0071,-23.05,0.0000,0.0000,0.0,0.000000
6.05,0.0000,0.0000,0.00,-0.0010,-0.0001,4.09,-0.0001,-0.0071,-23.04,0.0000,0.0000,10.0,0.000000
6.57,0.0000,0.0000,0.00,-0.0010,-0.0001,4.09,-0.0001,-0.0071,-23.03,0.0000,0.0000,0.0,0.000000
7.07,0.0000,0.0000,0.00,-0.0010,-0.0001,4.09,-0.0001,-0.0071,-23.02,0.0000,0.0000,0.0,0.000000
7.57,0.0000,0.0000,0.00,-0.0010,-0.0001,4.09,-0.0001,-0.0071,-23.03,0.0000,0.0000,9.9,0.000000
8.09,0.0000,0.0000,0.00,-0.0010,-0.0001,4.09,-0.0001,-0.0071,-23.01,0.0000,0.0000,0.0,0.000000
8.59,0.0000,0.0000,0.00,-0.0010,-0.0001,4.09,-0.0001,-0.0071,-23.02,0.0000,0.0000,0.0,0.000000
9.11,0.0000,0.0000,0.00,-0.0010,-0.0001,4.09,-0.0001,-0.0071,-23.00,0.0000,0.0000,9.8,0.000000
9.61,0.0000,0.0000,0.00,-0.0010,-0.0001,4.09,-0.0001,-0.0071,-22.99,0.0000,0.0000,0.0,0.000000
10.11,0.0000,0.0000,0.00,-0.0010,-0.0001,4.09,-0.0001,-0.0071,-22.98,0.0000,0.0000,0.0,0.000000
10.63,0.0000,0.0000,0.00,-0.0010,-0.0001,4.09,-0.0001,-0.0071,-22.99,0.0000,0.0000,9.9,0.000000
11.13,0.0000,0.0000,0.00,-0.0010,-0.0001,4.09,-0.0001,-0.0071,-22.98,0.0000,0.0000,0.0,0.000000
11.63,0.0000,0.0000,0.00,-0.0010,-0.0001,4.09,-0.0001,-0.0071,-22.97,0.0000,0.0000,0.0,0.000000
12.13,0.0000,0.0000,0.00,-0.0010,-0.0001,4.09,-0.0001,-0.0071,-22.95,0.0000,0.0000,10.0,0.000000
12.64,0.0000,0.0000,0.00,-0.0010,-0.0001,4.09,-0.0001,-0.0071,-22.94,0.0000,0.0000,0.0,0.000000
13.15,0.0000,0.0000,0.00,-0.0010,-0.0001,4.09,-0.0001,-0.0071,-22.96,0.0000,0.0000,0.0,0.000000
13.65,0.0000,0.0000,0.00,-0.0010,-0.0001,4.09,-0.0001,-0.0071,-22.94,0.0000,0.0000,10.6,0.000000
14.15,0.0000,0.0000,0.00,-0.0010,-0.0001,4.09,-0.0001,-0.0071,-22.93,0.0000,0.0000,0.0,0.000000
14.67,0.0000,0.0000,0.00,-0.0010,-0.0001,4.09,-0.0001,-0.0071,-22.92,0.0002,0.0000,0.0,0.000000
15.17,0.0000,0.0000,0.00,-0.0010,-0.0001,4.09,-0.0000,-0.0071,-22.91,0.0000,0.0000,9.9,0.000000
15.67,0.0000,0.0000,0.00,-0.0010,-0.0001,4.09,-0.0000,-0.0071,-22.90,0.0000,0.0000,0.0,0.000000
