elapsed_s,fc_vx,fc_vy,odom_vx,odom_vy,filt_vx,filt_vy,filt_px,filt_py,odom_base_x,odom_base_y,odom_base_yaw,map_odom_x,map_odom_y,map_odom_yaw,amcl_x,amcl_y,amcl_yaw,amcl_delta,pos_gap_x,pos_gap_y,odom_drift_speed
0.20,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.21,0.0000,-0.0000,0.13,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
0.40,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.20,0.0000,-0.0000,0.13,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
0.60,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.20,0.0000,-0.0000,0.13,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
0.80,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.20,0.0000,-0.0000,0.13,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
1.01,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.20,0.0000,-0.0000,0.13,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
1.21,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.20,0.0000,-0.0000,0.13,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
1.41,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.20,0.0000,-0.0000,0.13,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
1.61,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.20,0.0000,-0.0000,0.13,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
1.82,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.21,0.0000,-0.0000,0.13,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
2.02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.22,0.0000,-0.0000,0.13,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
2.23,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.21,0.0000,-0.0000,0.13,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
2.43,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.22,0.0000,-0.0000,0.13,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
2.64,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.22,0.0000,-0.0000,0.13,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
2.84,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.22,0.0000,-0.0000,0.13,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
3.04,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.22,0.0000,-0.0000,0.13,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
3.25,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.23,0.0000,-0.0000,0.13,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
3.45,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.23,0.0000,-0.0000,0.13,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
3.65,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.23,0.0000,-0.0000,0.13,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
3.85,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.23,0.0000,-0.0000,0.13,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
4.05,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.23,0.0000,-0.0000,0.13,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
4.25,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.24,0.0000,-0.0000,0.13,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
4.46,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.24,0.0000,-0.0000,0.13,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
4.66,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.24,0.0000,-0.0000,0.13,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
4.86,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.24,0.0000,-0.0000,0.13,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
5.07,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.24,0.0000,-0.0000,0.13,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
5.27,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.22,0.0000,-0.0000,0.13,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
5.47,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.24,0.0000,-0.0000,0.13,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
5.67,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.25,0.0000,-0.0000,0.13,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
5.87,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.51,0.0000,-0.0000,0.13,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
6.08,-0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,-0.0000,-1.01,-0.0005,0.0000,0.15,-0.0005,0.0000,-0.65,0.002472,0.0005,-0.0000,0.0000
6.28,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.85,-0.0005,0.0000,0.15,-0.0005,0.0000,-0.65,0.000000,0.0005,-0.0000,0.0000
6.48,0.0000,0.0100,0.0000,0.0000,0.0000,0.0099,0.0000,0.0017,0.0000,0.0017,-0.33,-0.0005,0.0000,0.15,-0.0005,0.0000,-0.65,0.000000,0.0005,0.0017,0.0099
6.68,-0.0100,0.0300,0.0000,0.0300,0.0000,0.0300,-0.0000,0.0063,-0.0000,0.0063,0.06,-0.0011,0.0000,0.17,-0.0011,0.0029,0.05,0.002808,0.0011,0.0033,0.0300
6.89,-0.0400,0.0000,-0.0300,0.0000,-0.0298,0.0027,-0.0043,0.0111,-0.0043,0.0111,0.36,-0.0014,-0.0000,0.20,-0.0025,0.0087,0.31,0.001456,-0.0018,0.0024,0.0300
7.09,-0.0700,0.0000,-0.0700,0.0000,-0.0584,0.0000,-0.0123,0.0111,-0.0123,0.0111,0.03,-0.0014,-0.0005,0.20,-0.0079,0.0105,0.62,0.002532,-0.0043,0.0006,0.0000
7.30,-0.0800,0.0000,-0.0800,0.0000,-0.0775,0.0000,-0.0279,0.0111,-0.0254,0.0111,0.07,-0.0006,-0.0015,0.15,-0.0250,0.0096,0.17,0.005999,-0.0028,0.0016,0.0000
7.50,-0.0500,0.0000,-0.0500,0.0000,-0.0527,0.0000,-0.0404,0.0111,-0.0396,0.0111,0.18,-0.0009,-0.0003,0.34,-0.0389,0.0106,0.60,0.006045,-0.0015,0.0005,0.0000
7.70,-0.0400,0.0100,-0.0400,0.0000,-0.0413,0.0000,-0.0494,0.0111,-0.0494,0.0111,-0.62,-0.0041,-0.0044,0.20,-0.0522,0.0065,-0.32,0.025907,0.0028,0.0046,0.0000
7.91,-0.0100,0.0300,0.0000,0.0300,-0.0100,0.0300,-0.0548,0.0155,-0.0548,0.0155,-0.49,-0.0033,-0.0043,0.28,-0.0575,0.0096,-0.16,0.004054,0.0027,0.0059,0.0316
8.11,-0.0100,0.0200,0.0000,0.0200,-0.0000,0.0202,-0.0549,0.0206,-0.0549,0.0206,-0.82,-0.0018,-0.0069,0.24,-0.0568,0.0127,-0.47,0.014725,0.0019,0.0079,0.0202
8.31,-0.0100,0.0100,0.0000,0.0000,-0.0011,0.0013,-0.0562,0.0231,-0.0562,0.0231,-0.85,-0.0018,-0.0069,0.24,-0.0568,0.0127,-0.47,0.000000,0.0006,0.0105,0.0017
