elapsed_s,fc_vx,fc_vy,odom_vx,odom_vy,filt_vx,filt_vy,tf_px,tf_py,dir_flag
0.21,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.41,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.63,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.84,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.05,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.25,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.46,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.67,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.88,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.08,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.29,-0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.49,-0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.69,0.0100,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.90,0.0100,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.10,0.0100,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.30,0.0100,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.51,0.0100,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.71,0.0100,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.91,-0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
4.12,0.0100,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
4.32,0.0200,0.0100,0.0200,0.0000,0.0180,0.0000,0.0017,0.0000,0
4.52,0.0200,-0.0000,0.0200,0.0000,0.0200,0.0000,0.0059,0.0000,0
4.72,-0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0072,0.0000,0
4.92,-0.0000,0.0100,0.0000,0.0000,0.0000,0.0000,0.0072,0.0000,0
5.13,-0.0000,0.0100,0.0000,0.0000,0.0000,0.0000,0.0072,0.0000,0
5.33,-0.0000,0.0200,0.0000,0.0200,0.0000,0.0198,0.0072,0.0006,0
5.53,-0.0000,0.0100,0.0000,0.0000,0.0000,0.0000,0.0072,0.0031,0
5.73,0.0200,-0.0000,0.0200,0.0000,0.0198,0.0000,0.0075,0.0031,0
